Version,Name,Match 1,Match 2,Match 3,Match 4,Match 5,Match 6
Wii U,numnums,Donkey Kong,Rosalina & Luma,Zero Suit Samus,Wii Fit Trainer,Robin,Ness
Wii U,NU~BE~,Mewtwo,Mewtwo,Lucario,,,
Wii U,Aureoloss,Marth,Dark Pit,Link,Peach,,
Wii U,Jhair,Toon Link,Mega Man,Pac-man,,,
Wii U,(Jpn name),Fox,Meta Knight,Villager,Sheik,Pac-man,
Wii U,kendrick,Pac-man,Pac-man,Pac-man,,,
Wii U,andre,Link,Pit,Ike,,,
Wii U,rinmanix,Mega Man,Sonic,Kirby,Link,,
Wii U,Janxos,Mega Man,Donkey Kong,Wario,Mewtwo,Olimar,Greninja
Wii U,Schmitty,Sonic,Sonic,Sonic,Sonic,Sonic,Sonic
Wii U,trav,Pikachu,Pikachu,Pikachu,Pikachu,,
3DS,Eidan,Zero Suit Samus,,,,,
3DS,Javi,R.O.B.,,,,,
3DS,David,Donkey Kong,,,,,
3DS,Sparky …,Diddy Kong,Diddy Kong,Diddy Kong,,,
3DS,FreshBu…,Wario,
3DS,FGV,Zero Suit Samus,Zero Suit Samus,Mr. Game & Watch,Wii Fit Trainer,,
