Frequency (Hz)	Level (dB)
2.691650	-148.847198
5.383301	-186.391556
8.074951	-173.235291
10.766602	-185.722580
13.458252	-183.119080
16.149902	-181.054123
18.841553	-188.653702
21.533203	-181.067123
24.224854	-186.832306
26.916504	-184.328598
29.608154	-187.017212
32.299805	-185.796402
34.991455	-187.016037
37.683105	-188.046341
40.374756	-184.472260
43.066406	-183.943497
45.758057	-184.399033
48.449707	-207.300598
51.141357	-184.645111
53.833008	-184.564865
56.524658	-186.805817
59.216309	-182.382492
61.907959	-185.519318
64.599609	-186.307022
67.291260	-191.192291
69.982910	-186.570755
72.674561	-189.033813
75.366211	-183.646530
78.057861	-183.100449
80.749512	-193.626770
83.441162	-183.366196
86.132813	-189.924500
88.824463	-188.042084
91.516113	-184.741516
94.207764	-185.333862
96.899414	-189.672714
99.591064	-188.496140
102.282715	-182.084976
104.974365	-187.240097
107.666016	-183.136353
110.357666	-186.790726
113.049316	-186.722107
115.740967	-190.638672
118.432617	-185.502975
121.124268	-184.554474
123.815918	-186.108719
126.507568	-187.213165
129.199219	-185.671722
131.890869	-183.242477
134.582520	-182.038544
137.274170	-195.297379
139.965820	-184.020294
142.657471	-187.266373
145.349121	-193.678207
148.040771	-190.875961
150.732422	-185.707657
153.424072	-181.000046
156.115723	-189.522720
158.807373	-183.994080
161.499023	-185.072449
164.190674	-183.564362
166.882324	-199.473587
169.573975	-178.941589
172.265625	-180.393661
174.957275	-179.961685
177.648926	-183.389389
180.340576	-180.738449
183.032227	-185.866257
185.723877	-206.141281
188.415527	-180.427902
191.107178	-198.037521
193.798828	-178.481262
196.490479	-187.029663
199.182129	-191.223282
201.873779	-192.025772
204.565430	-177.062897
207.257080	-174.775375
209.948730	-182.090393
212.640381	-182.851883
215.332031	-185.786484
218.023682	-184.243591
220.715332	-187.857712
223.406982	-184.957886
226.098633	-179.817047
228.790283	-188.759460
231.481934	-183.972687
234.173584	-177.778885
236.865234	-180.489777
239.556885	-204.971390
242.248535	-187.258087
244.940186	-177.862534
247.631836	-174.482498
250.323486	-171.470428
253.015137	-170.873108
255.706787	-170.758286
258.398438	-174.136948
261.090088	-178.573029
263.781738	-177.248657
266.473389	-183.440979
269.165039	-185.325668
271.856689	-174.313370
274.548340	-173.804871
277.239990	-168.568756
279.931641	-161.245941
282.623291	-159.892654
285.314941	-159.697510
288.006592	-160.313309
290.698242	-164.049408
293.389893	-164.023087
296.081543	-162.405914
298.773193	-156.049942
301.464844	-152.589081
304.156494	-150.344559
306.848145	-150.449356
309.539795	-150.192062
312.231445	-151.260910
314.923096	-153.820129
317.614746	-156.630646
320.306396	-158.086472
322.998047	-152.379456
325.689697	-152.672974
