Frequency (Hz)	Level (dB)
2.691650	-58.609070
5.383301	-54.236996
8.074951	-50.774120
10.766602	-56.747559
13.458252	-56.654999
16.149902	-60.064945
18.841553	-66.275162
21.533203	-53.780460
24.224854	-53.952709
26.916504	-52.233234
29.608154	-48.351906
32.299805	-48.316723
34.991455	-66.202682
37.683105	-54.144375
40.374756	-49.122059
43.066406	-46.210232
45.758057	-53.984474
48.449707	-54.152897
51.141357	-46.206173
53.833008	-54.855412
56.524658	-59.056633
59.216309	-52.908592
61.907959	-43.161160
64.599609	-47.012039
67.291260	-52.597500
69.982910	-54.570183
72.674561	-63.222836
75.366211	-51.195393
78.057861	-51.345642
80.749512	-57.132030
83.441162	-45.979733
86.132813	-49.760139
88.824463	-53.876335
91.516113	-54.032810
94.207764	-51.006374
96.899414	-49.785736
99.591064	-53.971050
102.282715	-42.087006
104.974365	-36.284283
107.666016	-43.857578
110.357666	-41.847645
113.049316	-45.543980
115.740967	-43.326077
118.432617	-38.502090
121.124268	-40.296406
123.815918	-28.651712
126.507568	-25.984777
129.199219	-39.526917
131.890869	-31.992249
134.582520	-37.665844
137.274170	-36.833439
139.965820	-31.428421
142.657471	-28.671539
145.349121	-26.735716
148.040771	-29.245230
150.732422	-42.119267
153.424072	-32.080883
156.115723	-35.234921
158.807373	-29.432728
161.499023	-27.152975
164.190674	-24.649666
166.882324	-23.851519
169.573975	-25.903450
172.265625	-24.847942
174.957275	-27.291122
177.648926	-27.735273
180.340576	-30.027861
183.032227	-41.762035
185.723877	-31.728092
188.415527	-27.063330
191.107178	-39.328770
193.798828	-29.205214
196.490479	-36.752834
199.182129	-45.476707
201.873779	-45.455685
204.565430	-30.433510
207.257080	-24.021091
209.948730	-17.648054
212.640381	-9.686261
215.332031	-16.974211
218.023682	-25.402958
220.715332	-27.825211
223.406982	-36.250046
226.098633	-24.437002
228.790283	-26.369211
231.481934	-32.748413
234.173584	-39.262466
236.865234	-35.317162
239.556885	-40.055176
242.248535	-53.479671
244.940186	-42.827690
247.631836	-41.013119
250.323486	-32.949398
253.015137	-38.335197
255.706787	-44.253796
258.398438	-45.932270
261.090088	-46.819439
263.781738	-53.644806
266.473389	-50.940605
269.165039	-38.939758
271.856689	-46.477806
274.548340	-42.764622
277.239990	-39.573112
279.931641	-43.400612
282.623291	-47.119907
285.314941	-69.678917
288.006592	-48.211990
290.698242	-44.580364
293.389893	-31.809170
296.081543	-31.298485
298.773193	-32.400356
301.464844	-26.964224
304.156494	-28.256386
306.848145	-29.397160
309.539795	-35.546974
312.231445	-45.880650
314.923096	-36.668957
317.614746	-32.232922
320.306396	-35.138557
322.998047	-35.647583
325.689697	-32.963322
328.381348	-34.123032
331.072998	-38.508663
333.764648	-41.321281
336.456299	-41.324017
339.147949	-62.502861
341.839600	-47.616852
344.531250	-48.771767
347.222900	-43.900597
349.914551	-41.101486
352.606201	-36.540817
355.297852	-44.311062
357.989502	-45.956070
360.681152	-53.287365
363.372803	-45.776455
366.064453	-45.467655
368.756104	-46.130867
371.447754	-48.949211
374.139404	-44.090225
376.831055	-50.934647
379.522705	-55.533016
382.214355	-64.504860
384.906006	-42.757900
387.597656	-45.228306
390.289307	-49.865002
392.980957	-49.559189
395.672607	-42.440086
398.364258	-50.987099
401.055908	-46.776196
403.747559	-43.939930
406.439209	-44.367302
409.130859	-50.619282
411.822510	-44.684532
414.514160	-44.595005
417.205811	-40.145092
419.897461	-31.565813
422.589111	-27.631884
425.280762	-21.326117
427.972412	-23.555130
430.664063	-32.918045
433.355713	-52.338287
436.047363	-36.993153
438.739014	-42.038250
441.430664	-47.625435
444.122314	-46.655106
446.813965	-47.887417
449.505615	-39.931042
452.197266	-40.498875
454.888916	-47.186314
457.580566	-51.345497
460.272217	-45.273087
462.963867	-46.069584
465.655518	-46.139275
468.347168	-41.699612
471.038818	-39.948662
473.730469	-40.936707
476.422119	-43.881325
479.113770	-41.667809
481.805420	-38.121067
484.497070	-38.089840
487.188721	-39.299965
489.880371	-39.564922
492.572021	-41.593914
495.263672	-42.808754
497.955322	-40.235931
500.646973	-45.255856
503.338623	-42.403576
506.030273	-39.532642
508.721924	-38.591812
511.413574	-42.350212
514.105225	-47.226276
516.796875	-49.007500
519.488525	-52.836460
522.180176	-40.752922
524.871826	-35.063473
527.563477	-33.024487
530.255127	-32.891556
532.946777	-39.589195
535.638428	-43.773899
538.330078	-45.489792
541.021729	-47.551907
543.713379	-50.781696
546.405029	-48.405743
549.096680	-58.117157
551.788330	-54.444229
554.479980	-61.612175
557.171631	-59.512531
559.863281	-57.823421
562.554932	-53.025711
565.246582	-59.031021
