Frequency (Hz)	Level (dB)
2.691650	-86.201157
5.383301	-116.149551
8.074951	-109.424683
10.766602	-101.401787
13.458252	-98.624359
16.149902	-103.154091
18.841553	-102.774010
21.533203	-98.821495
24.224854	-92.996880
26.916504	-94.410583
29.608154	-97.065964
32.299805	-98.429161
34.991455	-103.230980
37.683105	-108.102531
40.374756	-105.955971
43.066406	-105.936180
45.758057	-107.361938
48.449707	-90.575905
51.141357	-88.112106
53.833008	-97.624748
56.524658	-109.135010
59.216309	-116.037117
61.907959	-110.216476
64.599609	-106.103790
67.291260	-114.634827
69.982910	-102.760864
72.674561	-102.863152
75.366211	-105.313240
78.057861	-106.603607
80.749512	-117.799294
83.441162	-110.324051
86.132813	-103.345634
88.824463	-109.410172
91.516113	-112.093681
94.207764	-114.576660
96.899414	-98.501671
99.591064	-86.962982
102.282715	-87.556023
104.974365	-98.265297
107.666016	-112.309059
110.357666	-105.871826
113.049316	-103.038734
115.740967	-107.969231
118.432617	-103.300957
121.124268	-104.489189
123.815918	-107.752838
126.507568	-103.935852
129.199219	-104.126434
131.890869	-110.606499
134.582520	-105.596367
137.274170	-103.714661
139.965820	-112.286476
142.657471	-107.011269
145.349121	-110.408043
148.040771	-111.677574
150.732422	-117.644844
153.424072	-106.376694
156.115723	-109.173569
158.807373	-108.795883
161.499023	-113.538788
164.190674	-106.247681
166.882324	-104.432404
169.573975	-103.784569
172.265625	-99.004089
174.957275	-102.385460
177.648926	-110.679878
180.340576	-120.076256
183.032227	-106.436623
185.723877	-118.241600
188.415527	-113.373932
191.107178	-109.502457
193.798828	-114.250801
196.490479	-99.786308
199.182129	-96.523529
201.873779	-99.890198
204.565430	-110.323036
207.257080	-104.795799
209.948730	-107.161293
212.640381	-110.130440
215.332031	-102.510971
218.023682	-107.436211
220.715332	-117.060486
223.406982	-104.576279
226.098633	-101.644852
228.790283	-96.730614
231.481934	-100.106140
234.173584	-117.036331
236.865234	-107.498520
239.556885	-103.238869
242.248535	-101.341278
244.940186	-106.726364
247.631836	-114.860580
250.323486	-107.827164
253.015137	-110.473663
255.706787	-138.360306
258.398438	-107.419533
261.090088	-113.598457
263.781738	-111.174484
266.473389	-113.321213
269.165039	-108.018486
271.856689	-109.601952
274.548340	-109.441483
277.239990	-117.776047
279.931641	-114.970757
282.623291	-127.232346
285.314941	-106.183128
288.006592	-102.212959
290.698242	-107.959663
293.389893	-108.223869
296.081543	-104.153580
298.773193	-107.543991
301.464844	-107.416817
304.156494	-110.101486
306.848145	-109.503067
309.539795	-103.093025
312.231445	-109.913170
314.923096	-113.494232
317.614746	-112.215790
320.306396	-119.490707
322.998047	-111.618507
325.689697	-121.276985
328.381348	-111.253242
331.072998	-122.527512
333.764648	-124.026375
336.456299	-112.963730
339.147949	-105.976257
341.839600	-107.918663
344.531250	-119.478050
347.222900	-125.957344
349.914551	-121.367348
352.606201	-108.358246
355.297852	-105.738441
357.989502	-110.666252
360.681152	-114.083160
363.372803	-119.416985
366.064453	-118.556679
368.756104	-111.898613
371.447754	-115.696083
374.139404	-111.690826
376.831055	-106.401543
379.522705	-106.158066
382.214355	-111.441513
384.906006	-119.120148
387.597656	-114.118111
390.289307	-114.969955
392.980957	-124.172539
395.672607	-116.059975
398.364258	-114.274124
401.055908	-114.336090
403.747559	-112.883339
406.439209	-113.071724
409.130859	-108.922531
411.822510	-105.508713
414.514160	-112.218445
417.205811	-123.034729
419.897461	-117.670891
422.589111	-120.614899
425.280762	-114.794540
427.972412	-117.334854
430.664063	-117.550903
433.355713	-123.155876
436.047363	-113.487396
438.739014	-109.437523
441.430664	-111.281189
444.122314	-111.159691
446.813965	-112.487190
449.505615	-124.385010
452.197266	-116.788330
454.888916	-114.333183
457.580566	-115.447929
460.272217	-126.547356
462.963867	-119.927414
465.655518	-118.826759
468.347168	-127.055611
471.038818	-127.456345
473.730469	-121.172653
476.422119	-121.122292
479.113770	-120.876366
481.805420	-118.751358
484.497070	-112.765724
487.188721	-116.344193
489.880371	-116.155495
492.572021	-113.936394
495.263672	-127.244461
497.955322	-117.006454
500.646973	-113.594597
503.338623	-112.277573
506.030273	-113.284233
508.721924	-114.694778
511.413574	-113.859444
514.105225	-117.847404
516.796875	-110.368225
519.488525	-110.697510
522.180176	-114.143951
524.871826	-115.710548
527.563477	-123.702774
530.255127	-119.382332
532.946777	-120.571602
535.638428	-124.786011
538.330078	-120.081551
541.021729	-112.830307
543.713379	-108.345764
546.405029	-108.859192
549.096680	-108.954872
551.788330	-117.243134
554.479980	-118.597397
557.171631	-125.145370
559.863281	-111.422653
562.554932	-113.372711
565.246582	-125.811951
567.938232	-116.472908
570.629883	-112.802773
573.321533	-113.168976
576.013184	-113.056885
578.704834	-111.520538
581.396484	-121.760559
584.088135	-130.433472
586.779785	-125.311600
589.471436	-115.457573
592.163086	-114.278313
594.854736	-122.589821
597.546387	-117.631332
600.238037	-117.176712
602.929688	-121.184532
605.621338	-111.913574
608.312988	-102.889168
611.004639	-104.132790
613.696289	-111.815590
616.387939	-113.898132
619.079590	-124.059578
621.771240	-114.964569
624.462891	-113.981949
627.154541	-121.642899
629.846191	-118.276505
632.537842	-118.026947
635.229492	-117.401756
637.921143	-116.953262
640.612793	-115.234154
643.304443	-124.320084
645.996094	-125.229218
648.687744	-124.484070
651.379395	-116.368279
654.071045	-118.365997
656.762695	-124.731094
659.454346	-116.486092
662.145996	-119.467133
664.837646	-119.159485
667.529297	-116.470131
670.220947	-120.224083
672.912598	-123.491081
675.604248	-117.109909
678.295898	-113.471977
680.987549	-116.944664
683.679199	-125.257210
686.370850	-118.790215
689.062500	-123.867592
691.754150	-120.494362
694.445801	-116.348946
697.137451	-120.410545
699.829102	-127.832939
702.520752	-121.482796
705.212402	-143.094681
707.904053	-121.545334
710.595703	-121.447723
713.287354	-132.238724
715.979004	-122.066963
718.670654	-129.055817
721.362305	-119.160225
724.053955	-116.623055
726.745605	-116.522949
729.437256	-119.451714
732.128906	-118.335121
734.820557	-119.996895
737.512207	-127.600342
740.203857	-124.245827
742.895508	-124.165489
745.587158	-119.301682
748.278809	-123.873550
750.970459	-126.882813
753.662109	-133.443161
756.353760	-121.955894
759.045410	-124.263786
761.737061	-127.403679
764.428711	-128.261185
767.120361	-124.263306
769.812012	-117.382500
