Frequency (Hz)	Level (dB)
2.691650	-89.815834
5.383301	-93.624947
8.074951	-95.549576
10.766602	-96.554810
13.458252	-101.999702
16.149902	-91.604729
18.841553	-86.255547
21.533203	-84.704811
24.224854	-86.435181
26.916504	-93.019867
29.608154	-90.501137
32.299805	-84.332191
34.991455	-82.156761
37.683105	-82.355621
40.374756	-84.472839
43.066406	-87.685081
45.758057	-87.355415
48.449707	-83.954483
51.141357	-81.590820
53.833008	-80.639671
56.524658	-80.824593
59.216309	-81.395851
61.907959	-81.237259
64.599609	-80.608147
67.291260	-80.780273
69.982910	-82.496246
72.674561	-85.618019
75.366211	-86.554649
78.057861	-84.035515
80.749512	-81.963791
83.441162	-80.512024
86.132813	-79.193741
88.824463	-77.944305
91.516113	-76.831360
94.207764	-75.962845
96.899414	-75.682793
99.591064	-76.598427
102.282715	-79.673790
104.974365	-83.896141
107.666016	-77.777794
110.357666	-72.570732
113.049316	-69.568115
115.740967	-67.934540
118.432617	-67.291710
121.124268	-67.485771
123.815918	-68.525917
126.507568	-70.623116
129.199219	-74.180634
131.890869	-76.935913
134.582520	-72.622108
137.274170	-68.353188
139.965820	-65.703339
142.657471	-64.317596
145.349121	-64.034904
148.040771	-64.888176
150.732422	-67.141083
153.424072	-71.564194
156.115723	-79.185555
158.807373	-75.223221
161.499023	-70.638443
164.190674	-68.813766
166.882324	-68.451447
169.573975	-68.645065
172.265625	-68.430779
174.957275	-67.601341
177.648926	-66.933258
180.340576	-67.158646
183.032227	-68.830803
185.723877	-72.826363
188.415527	-77.803528
191.107178	-71.820564
193.798828	-67.215874
196.490479	-64.753403
199.182129	-63.556713
201.873779	-63.178131
204.565430	-63.311714
207.257080	-63.742851
209.948730	-64.449348
212.640381	-65.696930
215.332031	-67.977318
218.023682	-71.113007
220.715332	-69.872429
223.406982	-65.435349
226.098633	-62.330551
228.790283	-60.633709
231.481934	-60.108849
234.173584	-60.677792
236.865234	-62.425392
239.556885	-65.690369
242.248535	-71.525574
244.940186	-83.142838
247.631836	-76.558350
250.323486	-72.879700
253.015137	-72.352669
255.706787	-72.999329
258.398438	-73.180901
261.090088	-72.519058
263.781738	-72.232231
266.473389	-73.227516
269.165039	-76.020821
271.856689	-79.860626
274.548340	-78.220306
277.239990	-74.956421
279.931641	-73.729050
282.623291	-74.522598
285.314941	-77.628960
288.006592	-84.295830
290.698242	-86.391319
293.389893	-81.575958
296.081543	-80.818260
298.773193	-81.923134
301.464844	-79.521286
304.156494	-75.336060
306.848145	-72.690071
309.539795	-71.665924
312.231445	-72.167900
314.923096	-74.420776
317.614746	-79.479332
320.306396	-91.306572
322.998047	-82.211700
325.689697	-77.678932
328.381348	-76.413284
331.072998	-77.054634
333.764648	-79.334671
336.456299	-83.293549
339.147949	-87.455772
341.839600	-86.449020
344.531250	-84.167908
347.222900	-83.174896
349.914551	-83.285332
352.606201	-84.341835
355.297852	-86.382942
357.989502	-89.203537
360.681152	-90.451805
363.372803	-88.451889
366.064453	-86.483597
368.756104	-85.690498
371.447754	-85.980263
374.139404	-87.178131
376.831055	-89.337341
379.522705	-92.859299
382.214355	-95.317627
384.906006	-91.097755
387.597656	-87.547600
390.289307	-86.146957
392.980957	-86.828636
395.672607	-90.122589
398.364258	-95.649117
401.055908	-90.550941
403.747559	-85.928017
406.439209	-83.779770
409.130859	-83.187538
411.822510	-83.818306
414.514160	-85.656425
417.205811	-88.854301
419.897461	-92.840729
422.589111	-93.569618
425.280762	-92.032448
427.972412	-92.202148
430.664063	-95.380119
433.355713	-105.379585
436.047363	-97.787201
438.739014	-91.964760
441.430664	-89.899361
444.122314	-89.608032
446.813965	-89.311386
449.505615	-87.327393
452.197266	-84.784409
