Frequency (Hz)	Level (dB)
2.691650	-52.257668
5.383301	-60.607323
8.074951	-62.446541
10.766602	-63.374691
13.458252	-56.124493
16.149902	-47.468311
18.841553	-43.154572
21.533203	-41.812321
24.224854	-52.051960
26.916504	-40.037064
29.608154	-38.854481
32.299805	-36.641655
34.991455	-40.519699
37.683105	-48.890553
40.374756	-36.294270
43.066406	-42.516994
45.758057	-45.339256
48.449707	-59.921360
51.141357	-45.413044
53.833008	-36.797047
56.524658	-38.370968
59.216309	-35.443344
61.907959	-41.763676
64.599609	-53.451580
67.291260	-42.787266
69.982910	-36.472691
72.674561	-43.188492
75.366211	-43.638199
78.057861	-40.605118
80.749512	-47.044903
83.441162	-51.124046
86.132813	-35.712845
88.824463	-35.558189
91.516113	-57.380547
94.207764	-39.272877
96.899414	-35.167850
99.591064	-40.072895
102.282715	-39.053436
104.974365	-48.481056
107.666016	-32.365490
110.357666	-27.205038
113.049316	-35.739738
115.740967	-45.982136
118.432617	-33.849892
121.124268	-31.886971
123.815918	-33.778282
126.507568	-25.501324
129.199219	-27.592041
131.890869	-23.673882
134.582520	-29.314539
137.274170	-33.261448
139.965820	-31.754570
142.657471	-32.992207
145.349121	-28.362761
148.040771	-33.278152
150.732422	-35.737171
153.424072	-33.329418
156.115723	-35.432377
158.807373	-32.799686
161.499023	-42.189926
164.190674	-37.897774
166.882324	-31.127699
169.573975	-25.876530
172.265625	-25.392015
174.957275	-25.303524
177.648926	-21.310946
180.340576	-19.309906
183.032227	-19.990118
185.723877	-32.379230
188.415527	-27.349821
191.107178	-28.435940
193.798828	-29.443230
196.490479	-24.507336
199.182129	-27.326178
201.873779	-36.667171
204.565430	-27.074196
207.257080	-23.231810
209.948730	-19.435326
212.640381	-23.661999
215.332031	-26.909235
218.023682	-25.447599
220.715332	-18.405767
223.406982	-8.960956
226.098633	-12.571964
228.790283	-20.332968
231.481934	-20.863361
234.173584	-20.567926
236.865234	-30.873466
239.556885	-29.497747
242.248535	-35.379795
244.940186	-34.529949
247.631836	-42.148106
250.323486	-36.169449
253.015137	-32.596107
255.706787	-32.225235
258.398438	-39.427429
261.090088	-37.711842
263.781738	-45.038044
266.473389	-30.883610
269.165039	-29.035833
271.856689	-41.142956
274.548340	-36.659069
277.239990	-30.326525
279.931641	-27.565334
282.623291	-28.148552
285.314941	-32.406464
288.006592	-44.586281
290.698242	-23.976233
293.389893	-22.279356
296.081543	-26.550982
298.773193	-27.148659
301.464844	-23.178514
304.156494	-21.015875
306.848145	-26.318224
309.539795	-30.368616
312.231445	-32.628696
314.923096	-27.192642
317.614746	-26.172695
320.306396	-29.336243
322.998047	-27.837040
325.689697	-25.426167
328.381348	-26.815161
331.072998	-31.526960
333.764648	-30.171528
336.456299	-41.130970
339.147949	-30.354923
341.839600	-30.642820
344.531250	-32.257881
347.222900	-36.031586
349.914551	-29.105192
352.606201	-32.910660
355.297852	-26.228937
357.989502	-27.244280
360.681152	-28.039806
363.372803	-31.243881
366.064453	-35.043926
368.756104	-49.126877
371.447754	-42.529839
374.139404	-37.711922
376.831055	-47.145340
379.522705	-52.108231
382.214355	-44.240253
384.906006	-40.150444
387.597656	-36.756538
390.289307	-52.796253
392.980957	-38.628777
395.672607	-35.657944
398.364258	-41.834076
401.055908	-37.813637
403.747559	-48.941177
406.439209	-39.236351
409.130859	-49.708435
411.822510	-44.019695
414.514160	-43.036606
417.205811	-47.416695
419.897461	-50.814316
422.589111	-36.148659
425.280762	-31.109068
427.972412	-42.927532
430.664063	-39.481556
433.355713	-30.506119
436.047363	-35.927101
438.739014	-40.079082
441.430664	-39.369591
444.122314	-28.703455
446.813965	-19.450098
449.505615	-20.377234
452.197266	-23.491022
454.888916	-32.769695
457.580566	-46.940975
460.272217	-32.481339
462.963867	-33.779072
465.655518	-37.747513
468.347168	-41.393322
471.038818	-40.328327
473.730469	-47.203415
476.422119	-49.196941
479.113770	-49.604935
481.805420	-42.516090
484.497070	-39.990173
487.188721	-40.782291
489.880371	-48.775410
492.572021	-44.550724
495.263672	-40.249428
497.955322	-36.892223
500.646973	-38.265526
503.338623	-37.322456
506.030273	-46.200165
508.721924	-42.215782
511.413574	-40.344444
514.105225	-40.260391
516.796875	-49.350368
519.488525	-57.567780
522.180176	-46.553379
524.871826	-46.441765
527.563477	-51.445236
530.255127	-46.161224
532.946777	-44.604599
535.638428	-41.521534
538.330078	-43.470253
541.021729	-47.640305
543.713379	-47.670280
546.405029	-64.373711
549.096680	-40.657444
551.788330	-37.338947
554.479980	-50.562515
557.171631	-43.022194
559.863281	-43.106796
562.554932	-48.251698
565.246582	-58.451588
567.938232	-50.143085
570.629883	-53.442047
573.321533	-51.449692
576.013184	-42.553329
578.704834	-41.166378
581.396484	-44.359154
584.088135	-46.758423
586.779785	-41.957241
589.471436	-48.305035
592.163086	-56.547115
594.854736	-41.628723
597.546387	-41.149700
600.238037	-39.151608
602.929688	-40.829861
605.621338	-37.488216
608.312988	-43.420559
611.004639	-51.640697
613.696289	-37.659054
616.387939	-44.020710
619.079590	-52.912880
621.771240	-51.242447
624.462891	-54.881420
627.154541	-51.055347
629.846191	-51.622116
632.537842	-51.470856
635.229492	-51.019417
637.921143	-50.927311
640.612793	-56.630077
643.304443	-51.974998
645.996094	-59.084217
648.687744	-47.283562
651.379395	-46.317326
654.071045	-49.901878
656.762695	-50.465569
659.454346	-51.152485
662.145996	-37.695343
664.837646	-38.450432
667.529297	-62.988079
670.220947	-44.048412
672.912598	-37.529270
675.604248	-43.982372
678.295898	-48.770916
680.987549	-53.554340
683.679199	-42.724152
686.370850	-41.775993
689.062500	-46.215401
691.754150	-48.337700
694.445801	-38.813133
697.137451	-45.264587
699.829102	-41.347885
702.520752	-34.015625
705.212402	-33.587685
707.904053	-37.935028
710.595703	-41.949478
713.287354	-54.392200
715.979004	-33.003876
718.670654	-31.505630
721.362305	-34.868820
724.053955	-40.490227
726.745605	-43.860218
729.437256	-33.334721
732.128906	-35.011173
734.820557	-40.578354
737.512207	-43.343353
740.203857	-39.749695
742.895508	-43.789585
745.587158	-48.033455
748.278809	-43.473923
750.970459	-42.450161
753.662109	-39.843479
756.353760	-54.576317
759.045410	-49.104435
761.737061	-46.797455
764.428711	-37.019512
767.120361	-36.141273
769.812012	-41.710571
772.503662	-51.219753
775.195313	-61.164696
777.886963	-46.263081
780.578613	-60.692497
783.270264	-58.192520
785.961914	-43.241760
788.653564	-37.694660
791.345215	-38.394634
794.036865	-51.863243
796.728516	-47.327797
799.420166	-44.686996
802.111816	-41.488533
804.803467	-53.122177
807.495117	-35.445942
810.186768	-36.067661
812.878418	-46.719517
815.570068	-61.364304
818.261719	-59.188416
820.953369	-53.198547
823.645020	-55.331783
826.336670	-50.797146
829.028320	-53.751186
831.719971	-46.246941
834.411621	-42.224960
837.103271	-39.561901
839.794922	-43.828362
842.486572	-49.439243
845.178223	-37.456970
847.869873	-37.425957
850.561523	-40.493195
853.253174	-68.606232
855.944824	-45.194382
858.636475	-47.246029
861.328125	-46.015892
864.019775	-48.780403
866.711426	-50.192616
869.403076	-51.990910
872.094727	-49.904171
874.786377	-54.115437
877.478027	-48.293682
880.169678	-42.928188
882.861328	-43.180408
885.552979	-38.903160
888.244629	-37.256824
890.936279	-39.976227
893.627930	-43.204887
896.319580	-38.184517
899.011230	-49.300491
901.702881	-50.881252
904.394531	-41.076359
907.086182	-37.561764
909.777832	-39.908718
912.469482	-39.106651
915.161133	-38.903103
917.852783	-43.554016
920.544434	-44.208359
923.236084	-43.541851
925.927734	-48.469906
928.619385	-45.736851
931.311035	-52.480816
934.002686	-51.394596
936.694336	-47.683380
939.385986	-48.445854
942.077637	-46.994854
944.769287	-47.902328
947.460938	-51.771034
950.152588	-61.069416
952.844238	-45.936981
955.535889	-43.253830
958.227539	-46.866188
960.919189	-47.450962
963.610840	-43.063213
966.302490	-40.278896
968.994141	-39.386875
971.685791	-50.677734
974.377441	-53.864677
977.069092	-62.576332
979.760742	-57.050205
982.452393	-51.124126
985.144043	-57.773228
987.835693	-56.334011
990.527344	-59.926052
993.218994	-63.658722
995.910645	-53.527565
998.602295	-54.578575
1001.293945	-53.247444
1003.985596	-51.340511
1006.677246	-49.158298
1009.368896	-48.337166
1012.060547	-48.186451
1014.752197	-49.346188
1017.443848	-52.208099
1020.135498	-47.071766
1022.827148	-46.295479
1025.518799	-55.769283
1028.210449	-42.805717
1030.902100	-43.509876
1033.593750	-50.867725
1036.285400	-50.679985
1038.977051	-54.664063
1041.668701	-58.114285
1044.360352	-67.554665
1047.052002	-53.581982
1049.743652	-51.784370
1052.435303	-44.378994
1055.126953	-43.394173
1057.818604	-47.628632
1060.510254	-50.046471
1063.201904	-51.372509
1065.893555	-46.795921
1068.585205	-45.910618
1071.276855	-50.591854
1073.968506	-47.438576
1076.660156	-48.012405
1079.351807	-54.483898
1082.043457	-51.575615
1084.735107	-54.718113
1087.426758	-51.738426
1090.118408	-50.144135
1092.810059	-50.162971
1095.501709	-50.529358
1098.193359	-54.592308
1100.885010	-55.135696
1103.576660	-70.099022
1106.268311	-65.652039
1108.959961	-55.453106
1111.651611	-51.794609
1114.343262	-53.817101
1117.034912	-49.527603
1119.726563	-46.258484
1122.418213	-43.986115
1125.109863	-43.556026
1127.801514	-59.400501
1130.493164	-53.633266
1133.184814	-48.999691
1135.876465	-55.161419
1138.568115	-59.689594
1141.259766	-52.078938
1143.951416	-52.797153
1146.643066	-62.536766
1149.334717	-53.570068
1152.026367	-44.778778
1154.718018	-42.775360
1157.409668	-53.960423
1160.101318	-45.737263
1162.792969	-48.422771
1165.484619	-49.568256
1168.176270	-53.525978
1170.867920	-51.849747
1173.559570	-50.183315
1176.251221	-51.046856
1178.942871	-48.159462
1181.634521	-52.039169
1184.326172	-49.223965
1187.017822	-48.708946
1189.709473	-48.403854
1192.401123	-56.624905
1195.092773	-63.443428
1197.784424	-57.593918
1200.476074	-54.881340
1203.167725	-54.837730
1205.859375	-62.634068
1208.551025	-51.469536
1211.242676	-51.867016
1213.934326	-57.564194
1216.625977	-51.666046
1219.317627	-54.008217
1222.009277	-68.288300
1224.700928	-53.522060
1227.392578	-56.236435
1230.084229	-54.110367
1232.775879	-50.128540
1235.467529	-50.109512
1238.159180	-49.552383
1240.850830	-53.658131
1243.542480	-55.137352
1246.234131	-65.874428
1248.925781	-61.836330
1251.617432	-68.171127
1254.309082	-65.536049
1257.000732	-62.291641
1259.692383	-73.889412
1262.384033	-67.995010
1265.075684	-63.109272
1267.767334	-63.436951
1270.458984	-56.667976
1273.150635	-53.828472
1275.842285	-55.032379
1278.533936	-51.137264
1281.225586	-50.147678
1283.917236	-53.509556
1286.608887	-50.702606
1289.300537	-45.239876
1291.992188	-46.097355
1294.683838	-48.406292
1297.375488	-57.679379
1300.067139	-49.967941
1302.758789	-49.127369
1305.450439	-47.049061
1308.142090	-47.318985
1310.833740	-51.207417
1313.525391	-50.366425
1316.217041	-51.080196
1318.908691	-53.521919
1321.600342	-45.846615
1324.291992	-49.568604
1326.983643	-47.583931
1329.675293	-45.035576
1332.366943	-45.645069
1335.058594	-57.311592
1337.750244	-45.376549
1340.441895	-42.257942
1343.133545	-42.206261
1345.825195	-48.498310
1348.516846	-46.082123
1351.208496	-44.899940
1353.900146	-50.845284
1356.591797	-41.576649
1359.283447	-40.297779
1361.975098	-42.991371
1364.666748	-48.438358
1367.358398	-55.266159
1370.050049	-51.213428
1372.741699	-55.533058
1375.433350	-56.655678
1378.125000	-58.314171
1380.816650	-53.579700
1383.508301	-39.445313
1386.199951	-40.011349
1388.891602	-41.765472
1391.583252	-43.415207
1394.274902	-49.011604
1396.966553	-45.951374
1399.658203	-50.317394
1402.349854	-49.495842
1405.041504	-53.084209
1407.733154	-49.749245
1410.424805	-56.425591
1413.116455	-58.062397
1415.808105	-47.762714
1418.499756	-48.426296
1421.191406	-45.681488
1423.883057	-51.934982
1426.574707	-54.411232
1429.266357	-51.225132
1431.958008	-59.096889
1434.649658	-61.586952
1437.341309	-56.588047
1440.032959	-53.041836
1442.724609	-61.856449
1445.416260	-58.886768
1448.107910	-64.795181
1450.799561	-68.681519
1453.491211	-62.944496
1456.182861	-53.810390
1458.874512	-54.022987
1461.566162	-52.089088
1464.257813	-49.980663
1466.949463	-55.905563
1469.641113	-59.897747
1472.332764	-64.092384
1475.024414	-49.593773
1477.716064	-51.018700
1480.407715	-53.092754
1483.099365	-51.902176
1485.791016	-51.822121
1488.482666	-56.415741
1491.174316	-54.495110
1493.865967	-62.130596
1496.557617	-51.090233
1499.249268	-53.367317
1501.940918	-64.548355
1504.632568	-58.377876
1507.324219	-61.992622
1510.015869	-71.712509
1512.707520	-50.898216
1515.399170	-53.041588
1518.090820	-63.546669
1520.782471	-62.216049
1523.474121	-61.348083
1526.165771	-59.377369
1528.857422	-57.394360
1531.549072	-64.607895
1534.240723	-60.092003
1536.932373	-56.431461
1539.624023	-50.559677
1542.315674	-53.435165
1545.007324	-49.598328
1547.698975	-56.682037
1550.390625	-57.257919
1553.082275	-46.641949
1555.773926	-51.027523
1558.465576	-64.632500
1561.157227	-53.890972
1563.848877	-55.697495
1566.540527	-49.059132
1569.232178	-44.988861
1571.923828	-49.015202
1574.615479	-50.655422
1577.307129	-47.399147
1579.998779	-51.052990
1582.690430	-46.857243
1585.382080	-53.443317
1588.073730	-50.963402
1590.765381	-54.270424
1593.457031	-55.066296
1596.148682	-43.653175
1598.840332	-45.424515
1601.531982	-45.036644
1604.223633	-60.076923
1606.915283	-54.376183
1609.606934	-52.217651
1612.298584	-48.752525
1614.990234	-46.632965
1617.681885	-45.222130
1620.373535	-50.971386
1623.065186	-51.809158
1625.756836	-50.668526
1628.448486	-50.378441
1631.140137	-50.044846
1633.831787	-50.428566
1636.523438	-52.007820
1639.215088	-57.610485
1641.906738	-47.837505
1644.598389	-48.449780
1647.290039	-61.004391
1649.981689	-53.711044
1652.673340	-63.248699
1655.364990	-50.976559
1658.056641	-51.437355
1660.748291	-60.450745
1663.439941	-55.116383
1666.131592	-53.380775
1668.823242	-55.834850
1671.514893	-55.982048
1674.206543	-66.752045
1676.898193	-54.932007
1679.589844	-56.550987
1682.281494	-72.957191
1684.973145	-54.558502
1687.664795	-51.543186
1690.356445	-50.467228
1693.048096	-50.255032
1695.739746	-53.715900
1698.431396	-55.947491
1701.123047	-51.431030
1703.814697	-52.936069
1706.506348	-52.270767
1709.197998	-54.396267
1711.889648	-52.702908
1714.581299	-55.555920
1717.272949	-48.704182
1719.964600	-45.009502
1722.656250	-44.381050
1725.347900	-48.146030
1728.039551	-51.227188
1730.731201	-52.082844
1733.422852	-49.400845
1736.114502	-57.556091
1738.806152	-48.575420
1741.497803	-44.425636
1744.189453	-51.061752
1746.881104	-43.191441
1749.572754	-49.833961
1752.264404	-44.826237
1754.956055	-49.761623
1757.647705	-40.341656
1760.339355	-40.333748
1763.031006	-50.916428
1765.722656	-46.177372
1768.414307	-56.981747
1771.105957	-54.129910
1773.797607	-49.116035
1776.489258	-49.735390
1779.180908	-48.478619
1781.872559	-56.226982
1784.564209	-53.738186
1787.255859	-48.585888
1789.947510	-45.886391
1792.639160	-44.284985
1795.330811	-51.571239
1798.022461	-64.063484
1800.714111	-48.570927
1803.405762	-54.151539
1806.097412	-73.807121
1808.789063	-57.226334
1811.480713	-61.756729
1814.172363	-68.815941
1816.864014	-64.801651
1819.555664	-69.158180
1822.247314	-58.323746
1824.938965	-58.687706
1827.630615	-57.039295
1830.322266	-54.750889
1833.013916	-51.997044
1835.705566	-45.655766
1838.397217	-51.603889
1841.088867	-60.779427
1843.780518	-54.622314
1846.472168	-54.290958
1849.163818	-57.715660
1851.855469	-54.009235
1854.547119	-50.562405
1857.238770	-57.872673
1859.930420	-58.667076
1862.622070	-54.399826
1865.313721	-49.128139
1868.005371	-49.884190
1870.697021	-53.360447
1873.388672	-49.196003
1876.080322	-56.460400
1878.771973	-48.073181
1881.463623	-48.305977
1884.155273	-55.267021
1886.846924	-54.408310
1889.538574	-50.018944
1892.230225	-48.692966
1894.921875	-59.183483
1897.613525	-50.380630
1900.305176	-53.422520
1902.996826	-50.932957
1905.688477	-63.246906
1908.380127	-68.599556
1911.071777	-53.074532
1913.763428	-53.045799
1916.455078	-62.397415
1919.146729	-62.051407
1921.838379	-63.121616
1924.530029	-58.729877
1927.221680	-59.684471
1929.913330	-61.523975
1932.604980	-74.094612
1935.296631	-60.714920
1937.988281	-65.430984
1940.679932	-68.840027
1943.371582	-59.522179
1946.063232	-62.185192
1948.754883	-62.283611
1951.446533	-59.646099
1954.138184	-52.044670
1956.829834	-50.972401
1959.521484	-56.488373
1962.213135	-67.273514
1964.904785	-67.099907
1967.596436	-60.154587
1970.288086	-56.903526
1972.979736	-67.099953
1975.671387	-57.790462
1978.363037	-57.070515
1981.054688	-64.263954
1983.746338	-52.546970
1986.437988	-58.746868
1989.129639	-62.091541
1991.821289	-67.234566
1994.512939	-63.920860
1997.204590	-66.096245
1999.896240	-62.050175
2002.587891	-66.882881
2005.279541	-59.106842
2007.971191	-56.674324
2010.662842	-59.914131
2013.354492	-60.531475
2016.046143	-56.302376
2018.737793	-60.092968
2021.429443	-65.639442
2024.121094	-53.882492
2026.812744	-56.482018
2029.504395	-58.353992
2032.196045	-53.675465
2034.887695	-53.219486
2037.579346	-54.550247
