Frequency (Hz)	Level (dB)
2.691650	-59.990692
5.383301	-67.265457
8.074951	-54.211754
10.766602	-57.089722
13.458252	-66.031273
16.149902	-67.333427
18.841553	-60.485485
21.533203	-60.039936
24.224854	-60.425323
26.916504	-56.764977
29.608154	-75.633583
32.299805	-58.986782
34.991455	-54.146423
37.683105	-54.122849
40.374756	-48.626621
43.066406	-47.600319
45.758057	-53.953228
48.449707	-61.375916
51.141357	-54.297581
53.833008	-54.112881
56.524658	-58.210571
59.216309	-50.273540
61.907959	-43.750851
64.599609	-52.525135
67.291260	-53.462421
69.982910	-54.916847
72.674561	-59.739433
75.366211	-56.236809
78.057861	-54.542709
80.749512	-54.854198
83.441162	-49.855637
86.132813	-50.396263
88.824463	-60.775291
91.516113	-55.810547
94.207764	-52.624912
96.899414	-47.892548
99.591064	-47.322281
102.282715	-42.501263
104.974365	-45.828037
107.666016	-44.909470
110.357666	-48.719070
113.049316	-44.912495
115.740967	-40.459274
118.432617	-34.661686
121.124268	-32.289474
123.815918	-28.475750
126.507568	-36.268711
129.199219	-34.876293
131.890869	-39.542973
134.582520	-36.983109
137.274170	-32.920841
139.965820	-32.911098
142.657471	-28.095049
145.349121	-26.663849
148.040771	-42.765205
150.732422	-36.856831
153.424072	-18.879869
156.115723	-17.309570
158.807373	-31.721962
161.499023	-35.538918
164.190674	-33.615242
166.882324	-35.590557
169.573975	-52.137459
172.265625	-39.745251
174.957275	-33.710407
177.648926	-34.520405
180.340576	-41.631649
183.032227	-40.051163
185.723877	-30.303425
188.415527	-33.739147
191.107178	-34.749611
193.798828	-50.531124
196.490479	-43.260483
199.182129	-40.128071
201.873779	-34.238220
204.565430	-27.712084
207.257080	-25.913414
209.948730	-28.517990
212.640381	-27.962530
215.332031	-38.743385
218.023682	-35.374718
220.715332	-32.316410
223.406982	-28.117264
226.098633	-24.912657
228.790283	-24.830910
231.481934	-26.852083
234.173584	-34.279839
236.865234	-33.877701
239.556885	-27.791044
242.248535	-28.565187
244.940186	-44.718586
247.631836	-33.751797
250.323486	-41.775082
253.015137	-36.244144
255.706787	-41.827332
258.398438	-58.016800
261.090088	-50.735554
263.781738	-44.851192
266.473389	-44.433933
269.165039	-41.099010
271.856689	-44.375347
274.548340	-42.425777
277.239990	-42.879116
279.931641	-47.809540
282.623291	-40.865067
285.314941	-44.195728
288.006592	-54.414921
290.698242	-51.510918
293.389893	-46.236847
296.081543	-56.513264
298.773193	-48.714260
301.464844	-49.423553
304.156494	-35.702888
306.848145	-24.799139
309.539795	-17.827559
312.231445	-22.365572
314.923096	-40.206734
317.614746	-49.252823
320.306396	-44.293358
322.998047	-46.805813
325.689697	-49.955826
328.381348	-50.382660
331.072998	-52.382336
