Frequency (Hz)	Level (dB)
2.691650	-59.855965
5.383301	-63.112854
8.074951	-60.066235
10.766602	-60.851322
13.458252	-58.337868
16.149902	-50.932739
18.841553	-57.704178
21.533203	-54.787224
24.224854	-48.279308
26.916504	-45.808167
29.608154	-58.556400
32.299805	-51.003654
34.991455	-58.263321
37.683105	-56.029560
40.374756	-47.269314
43.066406	-48.218811
45.758057	-52.817490
48.449707	-48.734695
51.141357	-46.456448
53.833008	-54.308022
56.524658	-60.307388
59.216309	-56.847691
61.907959	-45.136562
64.599609	-48.212543
67.291260	-62.142208
69.982910	-57.065041
72.674561	-56.927914
75.366211	-64.016701
78.057861	-51.308407
80.749512	-48.803852
83.441162	-44.653065
86.132813	-54.437420
88.824463	-49.556099
91.516113	-56.504589
94.207764	-49.242661
96.899414	-52.147835
99.591064	-46.762012
102.282715	-41.054417
104.974365	-38.185326
107.666016	-41.236778
110.357666	-48.705463
113.049316	-40.333549
115.740967	-45.749485
118.432617	-52.610207
121.124268	-37.002117
123.815918	-29.433599
126.507568	-29.534828
129.199219	-36.171284
131.890869	-37.063782
134.582520	-34.215240
137.274170	-35.583706
139.965820	-38.443768
142.657471	-31.235914
145.349121	-29.039761
148.040771	-32.167149
150.732422	-36.291172
153.424072	-55.063713
156.115723	-49.670868
158.807373	-39.445145
161.499023	-49.074501
164.190674	-31.833599
166.882324	-28.238852
169.573975	-30.381128
172.265625	-34.814453
174.957275	-38.576626
177.648926	-34.804253
180.340576	-33.271255
183.032227	-33.912636
185.723877	-34.418713
188.415527	-30.628986
191.107178	-26.020014
193.798828	-28.639147
196.490479	-30.782272
199.182129	-31.210436
201.873779	-41.605446
204.565430	-26.564173
207.257080	-24.275017
209.948730	-21.735060
212.640381	-22.639833
215.332031	-28.579096
218.023682	-30.139645
220.715332	-29.640738
223.406982	-18.615582
226.098633	-13.195049
228.790283	-15.279066
231.481934	-20.962906
234.173584	-23.325197
236.865234	-30.092899
239.556885	-37.852776
242.248535	-37.985538
244.940186	-33.790241
247.631836	-35.295822
250.323486	-33.843327
253.015137	-34.142067
255.706787	-33.945011
258.398438	-34.635712
261.090088	-43.108223
263.781738	-39.092117
266.473389	-41.454250
269.165039	-35.885468
271.856689	-33.580540
274.548340	-37.689220
277.239990	-53.783031
279.931641	-47.629707
282.623291	-46.321606
285.314941	-41.492069
288.006592	-47.037216
290.698242	-41.451302
293.389893	-33.271854
296.081543	-36.512367
298.773193	-48.553551
301.464844	-42.478161
304.156494	-44.044540
306.848145	-38.536610
309.539795	-40.245762
312.231445	-51.589046
314.923096	-43.473015
317.614746	-38.388046
320.306396	-29.588701
322.998047	-44.757118
325.689697	-34.433769
328.381348	-34.668140
331.072998	-35.987492
333.764648	-34.622639
336.456299	-29.677715
339.147949	-38.498680
341.839600	-32.368694
344.531250	-37.936329
347.222900	-45.409225
349.914551	-35.618866
352.606201	-29.496929
355.297852	-32.075527
357.989502	-35.422234
360.681152	-53.707485
363.372803	-65.067299
366.064453	-39.661068
368.756104	-33.425079
371.447754	-37.464207
374.139404	-41.594112
376.831055	-43.344284
379.522705	-37.789860
382.214355	-37.521721
384.906006	-38.939816
387.597656	-58.344971
390.289307	-38.638008
392.980957	-36.961235
395.672607	-35.159515
398.364258	-37.109123
401.055908	-40.459286
403.747559	-41.135612
406.439209	-42.514313
409.130859	-43.192928
411.822510	-78.108009
414.514160	-35.052547
417.205811	-32.068436
419.897461	-33.336517
422.589111	-36.087860
425.280762	-50.828506
427.972412	-45.760242
430.664063	-40.943081
433.355713	-43.940609
