Frequency (Hz)	Level (dB)
2.691650	-71.764450
5.383301	-90.762894
8.074951	-90.944046
10.766602	-91.315140
13.458252	-77.776031
16.149902	-71.629196
18.841553	-72.089592
21.533203	-74.651031
24.224854	-67.353661
26.916504	-71.412575
29.608154	-79.050339
32.299805	-77.743210
34.991455	-81.661690
37.683105	-88.676994
40.374756	-82.041794
43.066406	-80.206482
45.758057	-80.187469
48.449707	-65.352638
51.141357	-62.060886
53.833008	-71.369347
56.524658	-96.199654
59.216309	-92.329697
61.907959	-92.428940
64.599609	-97.473381
67.291260	-96.888229
69.982910	-94.703964
72.674561	-84.837929
75.366211	-83.959969
78.057861	-86.532982
80.749512	-89.944061
83.441162	-85.220367
86.132813	-80.347343
88.824463	-86.534721
91.516113	-81.935463
94.207764	-81.204857
96.899414	-82.078712
99.591064	-65.953308
102.282715	-64.999405
104.974365	-78.897278
107.666016	-83.985268
110.357666	-79.993065
113.049316	-76.243958
115.740967	-76.888618
118.432617	-74.736824
121.124268	-87.307320
123.815918	-81.217911
126.507568	-88.644440
129.199219	-82.086891
131.890869	-80.432114
134.582520	-85.804268
137.274170	-84.308304
139.965820	-80.611198
142.657471	-83.558044
145.349121	-86.163551
148.040771	-73.066315
150.732422	-74.607559
153.424072	-90.480865
156.115723	-74.346794
158.807373	-72.654770
161.499023	-85.834610
164.190674	-81.754990
166.882324	-87.088478
169.573975	-87.360535
172.265625	-73.726501
174.957275	-73.616814
177.648926	-70.848015
180.340576	-75.805458
183.032227	-78.445610
185.723877	-84.234009
188.415527	-73.903786
191.107178	-74.291443
193.798828	-78.255836
196.490479	-70.206474
199.182129	-69.216637
201.873779	-72.935081
204.565430	-69.369690
207.257080	-76.153786
209.948730	-81.601555
212.640381	-80.620316
215.332031	-77.132576
218.023682	-77.541489
220.715332	-82.649406
223.406982	-78.779015
226.098633	-66.961906
228.790283	-66.933357
231.481934	-77.901489
234.173584	-75.437843
236.865234	-79.496628
239.556885	-84.116997
242.248535	-76.830597
244.940186	-79.233986
247.631836	-83.931747
250.323486	-74.556755
253.015137	-79.040077
255.706787	-78.155228
258.398438	-73.070442
261.090088	-69.899155
263.781738	-69.906609
266.473389	-73.349815
269.165039	-78.441750
271.856689	-83.283005
274.548340	-74.013336
277.239990	-77.913704
279.931641	-89.529495
282.623291	-81.659279
285.314941	-75.685524
288.006592	-65.821358
290.698242	-67.522545
293.389893	-74.415588
296.081543	-81.692345
298.773193	-75.886642
301.464844	-65.143570
304.156494	-62.819260
306.848145	-66.455109
309.539795	-76.305809
312.231445	-78.888641
314.923096	-72.100594
317.614746	-71.665070
320.306396	-71.411522
322.998047	-77.373901
325.689697	-87.736908
328.381348	-89.342262
331.072998	-90.903343
333.764648	-87.316628
336.456299	-89.991150
339.147949	-88.202705
341.839600	-76.050362
344.531250	-73.054573
347.222900	-74.672134
349.914551	-78.484756
352.606201	-85.326935
355.297852	-92.337555
357.989502	-96.512840
360.681152	-77.545639
363.372803	-82.726799
366.064453	-85.119568
368.756104	-80.520782
371.447754	-92.136139
374.139404	-81.694138
376.831055	-82.306664
379.522705	-80.637329
382.214355	-82.201630
384.906006	-86.024460
387.597656	-78.946167
390.289307	-76.785934
392.980957	-78.114159
395.672607	-79.693008
398.364258	-74.532440
401.055908	-76.391479
403.747559	-87.339417
406.439209	-78.096672
409.130859	-70.968002
411.822510	-69.375694
414.514160	-78.378395
417.205811	-103.152061
419.897461	-91.041733
422.589111	-90.817093
425.280762	-83.458206
427.972412	-81.592644
430.664063	-80.447266
433.355713	-82.618340
436.047363	-76.363899
438.739014	-76.304321
441.430664	-82.702751
444.122314	-77.113365
446.813965	-76.752365
449.505615	-82.361557
452.197266	-84.035927
454.888916	-88.477234
457.580566	-82.644554
460.272217	-81.390213
462.963867	-83.379593
465.655518	-91.773186
468.347168	-90.336449
471.038818	-87.260239
473.730469	-90.836685
476.422119	-89.246552
479.113770	-95.368484
481.805420	-94.955856
484.497070	-87.400658
487.188721	-84.565613
489.880371	-89.490585
492.572021	-87.022530
495.263672	-82.800858
497.955322	-76.894264
500.646973	-75.611916
503.338623	-76.314034
506.030273	-79.804504
508.721924	-85.593697
511.413574	-94.256477
514.105225	-96.383171
516.796875	-78.514191
519.488525	-75.881081
522.180176	-78.816963
524.871826	-89.882156
527.563477	-90.815582
530.255127	-89.059944
532.946777	-87.584732
535.638428	-92.157898
538.330078	-82.817802
541.021729	-77.367691
543.713379	-81.674728
546.405029	-103.750931
549.096680	-87.203247
551.788330	-84.155167
554.479980	-83.507210
557.171631	-83.887428
559.863281	-84.268753
562.554932	-84.918251
565.246582	-78.443230
567.938232	-83.052345
570.629883	-81.475204
573.321533	-82.915298
576.013184	-83.678963
578.704834	-76.138931
581.396484	-80.080032
584.088135	-79.735275
586.779785	-78.736427
589.471436	-76.676964
592.163086	-76.018936
594.854736	-81.545906
597.546387	-81.447693
600.238037	-82.091560
602.929688	-70.794327
605.621338	-64.103958
608.312988	-68.130898
611.004639	-74.022621
613.696289	-90.505928
616.387939	-85.836624
619.079590	-78.600372
621.771240	-85.823967
624.462891	-82.117104
627.154541	-81.444725
629.846191	-93.758698
632.537842	-91.961533
635.229492	-91.641922
637.921143	-84.552048
640.612793	-82.167801
643.304443	-83.355049
645.996094	-86.850227
648.687744	-87.991661
651.379395	-90.346825
654.071045	-98.651413
656.762695	-96.735840
659.454346	-89.505219
662.145996	-82.052063
664.837646	-82.105667
667.529297	-84.661018
670.220947	-89.223763
672.912598	-95.577972
675.604248	-93.386917
678.295898	-86.717339
680.987549	-89.632347
683.679199	-99.070564
686.370850	-106.555794
689.062500	-103.244339
691.754150	-97.744987
694.445801	-103.225632
697.137451	-92.924652
699.829102	-98.572174
702.520752	-96.175117
705.212402	-94.567513
707.904053	-99.507889
710.595703	-108.186996
713.287354	-94.217209
715.979004	-92.145088
718.670654	-95.972939
721.362305	-102.384903
724.053955	-101.059067
726.745605	-101.245300
729.437256	-96.517662
732.128906	-100.373505
734.820557	-100.839378
737.512207	-100.032967
740.203857	-95.496910
742.895508	-94.003029
745.587158	-98.623619
748.278809	-95.505211
750.970459	-92.446075
753.662109	-88.095360
756.353760	-84.930992
759.045410	-93.487144
761.737061	-112.795242
764.428711	-106.498009
767.120361	-96.516357
769.812012	-90.743668
772.503662	-89.700203
775.195313	-100.863266
777.886963	-93.175224
780.578613	-87.403206
783.270264	-91.763336
785.961914	-102.259979
788.653564	-101.465698
791.345215	-96.758743
794.036865	-92.884872
796.728516	-90.894295
799.420166	-88.524841
802.111816	-90.511719
804.803467	-89.951202
807.495117	-85.054161
810.186768	-82.382401
812.878418	-85.925865
815.570068	-92.972374
818.261719	-108.673759
820.953369	-100.706596
823.645020	-98.154854
826.336670	-95.465355
829.028320	-89.844055
831.719971	-91.485641
834.411621	-91.841347
837.103271	-91.225876
839.794922	-95.962914
842.486572	-106.102844
845.178223	-104.262756
847.869873	-96.885033
850.561523	-93.590874
853.253174	-94.951759
855.944824	-95.351303
858.636475	-112.129318
861.328125	-94.545738
864.019775	-87.870605
866.711426	-87.579124
869.403076	-90.391998
872.094727	-95.244492
874.786377	-91.927528
877.478027	-93.236824
880.169678	-104.640663
882.861328	-96.884094
885.552979	-85.238686
888.244629	-84.720940
890.936279	-84.545929
893.627930	-90.181694
896.319580	-86.897110
899.011230	-93.392067
901.702881	-106.868652
904.394531	-93.666901
907.086182	-109.522209
909.777832	-89.860542
912.469482	-94.098007
915.161133	-99.888870
917.852783	-91.051315
920.544434	-82.660126
923.236084	-85.929260
925.927734	-79.473030
928.619385	-85.707047
931.311035	-87.984085
934.002686	-80.293892
936.694336	-79.832787
939.385986	-79.458878
942.077637	-82.229485
944.769287	-93.531647
947.460938	-94.415100
950.152588	-95.206879
952.844238	-83.929512
955.535889	-80.689827
958.227539	-84.008057
960.919189	-92.838791
963.610840	-99.230629
966.302490	-97.384567
968.994141	-88.961273
971.685791	-86.769516
974.377441	-90.832779
977.069092	-92.041039
979.760742	-87.889183
982.452393	-92.003471
985.144043	-102.802872
987.835693	-95.191704
990.527344	-97.667084
993.218994	-99.797615
995.910645	-91.461670
998.602295	-93.967690
1001.293945	-112.776558
1003.985596	-94.726494
1006.677246	-90.439720
1009.368896	-91.989624
1012.060547	-91.655128
1014.752197	-90.707336
1017.443848	-90.915230
1020.135498	-89.549683
1022.827148	-86.992561
1025.518799	-84.807838
1028.210449	-83.260513
1030.902100	-84.041237
1033.593750	-87.442017
1036.285400	-89.351677
1038.977051	-94.555763
1041.668701	-88.788902
1044.360352	-85.640877
1047.052002	-88.781044
1049.743652	-93.518120
1052.435303	-88.360809
1055.126953	-85.220459
1057.818604	-88.838295
1060.510254	-98.154121
1063.201904	-100.350639
1065.893555	-90.604195
1068.585205	-86.932724
1071.276855	-86.964691
1073.968506	-88.883675
1076.660156	-89.811478
1079.351807	-90.383507
1082.043457	-97.567368
1084.735107	-97.914444
1087.426758	-106.776436
1090.118408	-93.442001
1092.810059	-86.035538
1095.501709	-86.661507
1098.193359	-88.688698
1100.885010	-90.577995
1103.576660	-90.209854
1106.268311	-87.757294
1108.959961	-85.178680
1111.651611	-86.088905
1114.343262	-102.114960
1117.034912	-100.215790
1119.726563	-102.637802
1122.418213	-90.910797
1125.109863	-92.813728
1127.801514	-98.503227
1130.493164	-100.175514
1133.184814	-102.202446
1135.876465	-101.197250
1138.568115	-97.605057
1141.259766	-92.940605
1143.951416	-99.093185
1146.643066	-100.600418
1149.334717	-95.774734
1152.026367	-92.457191
1154.718018	-91.424873
1157.409668	-91.398720
1160.101318	-88.708817
1162.792969	-96.873581
1165.484619	-95.508102
1168.176270	-92.669594
1170.867920	-97.032600
1173.559570	-97.316566
1176.251221	-98.112045
1178.942871	-95.374092
1181.634521	-102.706642
1184.326172	-91.451653
1187.017822	-92.647079
1189.709473	-80.191689
1192.401123	-79.593697
1195.092773	-93.964447
1197.784424	-89.168716
1200.476074	-90.832451
1203.167725	-101.165901
1205.859375	-94.002052
1208.551025	-87.655907
1211.242676	-85.484222
1213.934326	-86.109833
1216.625977	-80.791336
1219.317627	-86.911217
1222.009277	-89.862419
1224.700928	-88.789566
1227.392578	-95.505692
1230.084229	-90.891983
1232.775879	-97.915962
1235.467529	-88.237358
1238.159180	-83.874886
1240.850830	-92.427231
1243.542480	-85.868843
1246.234131	-83.819275
1248.925781	-100.300896
1251.617432	-82.075043
1254.309082	-84.226440
1257.000732	-93.397629
1259.692383	-85.730003
1262.384033	-81.262413
1265.075684	-84.716591
1267.767334	-108.247086
1270.458984	-89.904243
1273.150635	-86.590721
1275.842285	-88.906281
1278.533936	-103.906685
1281.225586	-95.142136
1283.917236	-102.020554
1286.608887	-94.437820
1289.300537	-93.060616
1291.992188	-86.910942
1294.683838	-87.692665
1297.375488	-86.764381
1300.067139	-88.468468
1302.758789	-112.046654
1305.450439	-90.717545
1308.142090	-88.751114
1310.833740	-94.683578
1313.525391	-107.717682
1316.217041	-107.930191
1318.908691	-90.504974
1321.600342	-84.443954
1324.291992	-86.416969
1326.983643	-89.709190
1329.675293	-85.624802
1332.366943	-86.492355
1335.058594	-103.731262
1337.750244	-89.295448
1340.441895	-91.461159
1343.133545	-98.457436
1345.825195	-89.996628
1348.516846	-98.748703
1351.208496	-106.225616
1353.900146	-100.359978
1356.591797	-103.038124
1359.283447	-96.832375
1361.975098	-99.106102
1364.666748	-102.084015
1367.358398	-104.073837
1370.050049	-101.543381
1372.741699	-95.995300
1375.433350	-97.391464
1378.125000	-97.005432
1380.816650	-96.883888
1383.508301	-100.773300
1386.199951	-100.988358
1388.891602	-100.614044
1391.583252	-100.692230
1394.274902	-102.731613
1396.966553	-103.493301
1399.658203	-104.695190
1402.349854	-105.675186
1405.041504	-112.970329
1407.733154	-107.949814
1410.424805	-105.451187
1413.116455	-106.110512
1415.808105	-112.318649
1418.499756	-106.359604
1421.191406	-105.266228
1423.883057	-104.043365
1426.574707	-104.173683
1429.266357	-105.312340
1431.958008	-101.725182
1434.649658	-104.392876
1437.341309	-98.966759
1440.032959	-97.846153
1442.724609	-102.524017
1445.416260	-103.389122
1448.107910	-105.339531
1450.799561	-101.325897
1453.491211	-94.144333
1456.182861	-94.231140
1458.874512	-92.576385
1461.566162	-98.831017
1464.257813	-99.380508
1466.949463	-100.421555
1469.641113	-92.549370
1472.332764	-97.751740
1475.024414	-96.203644
1477.716064	-97.465652
1480.407715	-99.347084
1483.099365	-96.969803
1485.791016	-97.621628
1488.482666	-101.195702
1491.174316	-102.900955
1493.865967	-98.524094
1496.557617	-101.420647
1499.249268	-126.395760
1501.940918	-107.042587
1504.632568	-87.227203
1507.324219	-86.230316
1510.015869	-113.577110
1512.707520	-94.450829
1515.399170	-101.717384
1518.090820	-101.408562
1520.782471	-113.295280
1523.474121	-102.319290
1526.165771	-97.197243
1528.857422	-97.233040
1531.549072	-109.046875
1534.240723	-96.305473
1536.932373	-94.577591
1539.624023	-115.122192
1542.315674	-110.568024
1545.007324	-106.466949
1547.698975	-103.235168
1550.390625	-92.423904
1553.082275	-90.651688
1555.773926	-97.108849
1558.465576	-102.595940
1561.157227	-105.957123
1563.848877	-97.723236
1566.540527	-100.272003
1569.232178	-102.846764
1571.923828	-102.382668
1574.615479	-103.435890
1577.307129	-101.459251
1579.998779	-107.184723
1582.690430	-92.646194
1585.382080	-88.079796
1588.073730	-92.949692
1590.765381	-92.824936
1593.457031	-87.777191
1596.148682	-93.412773
1598.840332	-97.517273
1601.531982	-101.898354
1604.223633	-103.467033
1606.915283	-116.997734
1609.606934	-93.720619
1612.298584	-92.878693
1614.990234	-107.718040
1617.681885	-97.530525
1620.373535	-95.397247
1623.065186	-95.814240
1625.756836	-96.765907
1628.448486	-95.730965
1631.140137	-97.327118
1633.831787	-93.849236
1636.523438	-94.169243
1639.215088	-89.027229
1641.906738	-91.910164
1644.598389	-96.970657
1647.290039	-101.734665
1649.981689	-99.226631
1652.673340	-100.964737
1655.364990	-93.590988
1658.056641	-94.647491
1660.748291	-105.539841
1663.439941	-99.749146
1666.131592	-97.160820
1668.823242	-102.539818
1671.514893	-110.088638
1674.206543	-103.682381
1676.898193	-101.935295
1679.589844	-120.248436
1682.281494	-100.297943
1684.973145	-109.242317
1687.664795	-100.818069
1690.356445	-94.521156
1693.048096	-100.273422
1695.739746	-107.052780
1698.431396	-100.573631
1701.123047	-105.358086
1703.814697	-103.784645
1706.506348	-100.911369
1709.197998	-100.839142
1711.889648	-102.386047
1714.581299	-99.469368
1717.272949	-94.047997
1719.964600	-92.095596
1722.656250	-95.711281
1725.347900	-96.572487
1728.039551	-89.180130
1730.731201	-90.875183
1733.422852	-96.070259
1736.114502	-106.683853
1738.806152	-103.588333
1741.497803	-102.625877
1744.189453	-104.784996
1746.881104	-98.338753
1749.572754	-103.600288
1752.264404	-116.863953
1754.956055	-110.709747
1757.647705	-101.784607
1760.339355	-96.073158
1763.031006	-94.370667
1765.722656	-99.331375
