Frequency (Hz)	Level (dB)
2.691650	-60.304256
5.383301	-58.234524
8.074951	-57.561535
10.766602	-61.235855
13.458252	-53.009071
16.149902	-53.124176
18.841553	-55.993023
21.533203	-48.887566
24.224854	-47.849575
26.916504	-47.829350
29.608154	-48.800907
32.299805	-55.295235
34.991455	-51.284950
37.683105	-56.448551
40.374756	-55.662857
43.066406	-47.785137
45.758057	-45.658222
48.449707	-53.013260
51.141357	-47.895454
53.833008	-41.591118
56.524658	-46.488697
59.216309	-39.787167
61.907959	-40.514698
64.599609	-52.246681
67.291260	-61.914330
69.982910	-50.434105
72.674561	-61.842342
75.366211	-52.651260
78.057861	-57.801304
80.749512	-47.844833
83.441162	-44.227036
86.132813	-61.134205
88.824463	-55.470173
91.516113	-48.660645
94.207764	-45.634491
96.899414	-59.198307
99.591064	-62.219669
102.282715	-40.528934
104.974365	-52.699665
107.666016	-38.811928
110.357666	-38.777679
113.049316	-35.089615
115.740967	-31.372808
118.432617	-32.431614
121.124268	-40.817703
123.815918	-40.202000
126.507568	-34.783726
129.199219	-32.681778
131.890869	-33.767704
134.582520	-36.649155
137.274170	-33.601128
139.965820	-33.804928
142.657471	-35.105816
145.349121	-47.846542
148.040771	-36.906460
150.732422	-30.549482
153.424072	-33.123436
156.115723	-38.384892
158.807373	-38.617794
161.499023	-34.000595
164.190674	-37.717392
166.882324	-40.211941
169.573975	-32.544086
172.265625	-45.093384
174.957275	-29.526655
177.648926	-25.170801
180.340576	-36.882736
183.032227	-41.364880
185.723877	-29.476715
188.415527	-28.741570
191.107178	-28.193182
193.798828	-27.255089
196.490479	-32.035187
199.182129	-26.450735
201.873779	-32.123184
204.565430	-22.629074
207.257080	-21.783350
209.948730	-32.027588
212.640381	-25.640514
215.332031	-29.477482
218.023682	-41.103653
220.715332	-22.373343
223.406982	-18.069880
226.098633	-24.951817
228.790283	-23.062252
231.481934	-24.027969
234.173584	-21.327599
236.865234	-24.230082
239.556885	-29.985167
242.248535	-30.364609
244.940186	-32.092281
247.631836	-27.379654
250.323486	-25.494932
253.015137	-28.716635
255.706787	-29.775324
258.398438	-34.336010
261.090088	-41.525700
263.781738	-41.111813
266.473389	-41.925751
269.165039	-29.551483
271.856689	-38.588135
274.548340	-41.379360
277.239990	-35.382290
279.931641	-36.688175
282.623291	-31.247675
285.314941	-27.015665
288.006592	-28.293282
290.698242	-26.336376
293.389893	-27.562984
296.081543	-29.137852
298.773193	-28.766529
301.464844	-29.829575
304.156494	-27.133507
306.848145	-27.324411
309.539795	-37.841984
312.231445	-39.214294
314.923096	-31.785105
317.614746	-28.920530
320.306396	-33.135128
322.998047	-36.582081
325.689697	-28.579941
328.381348	-35.300827
331.072998	-34.815594
333.764648	-24.746027
336.456299	-22.647804
339.147949	-24.456688
341.839600	-24.322279
344.531250	-18.934397
347.222900	-24.254105
349.914551	-23.300970
352.606201	-28.137720
355.297852	-38.022976
357.989502	-30.794235
360.681152	-46.248020
363.372803	-44.609493
366.064453	-37.608398
368.756104	-37.884472
371.447754	-50.728897
374.139404	-32.291283
376.831055	-39.225544
379.522705	-43.340481
382.214355	-35.460663
384.906006	-32.031624
387.597656	-50.196175
390.289307	-33.569000
392.980957	-36.100674
395.672607	-33.887272
398.364258	-28.421370
