Frequency (Hz)	Level (dB)
2.691650	-56.156246
5.383301	-55.933613
8.074951	-58.174374
10.766602	-57.127529
13.458252	-66.261742
16.149902	-53.712173
18.841553	-46.853416
21.533203	-45.744915
24.224854	-47.363197
26.916504	-49.934010
29.608154	-49.417233
32.299805	-49.357105
34.991455	-51.691494
37.683105	-50.580776
40.374756	-51.546070
43.066406	-52.541824
45.758057	-56.003506
48.449707	-60.159081
51.141357	-53.921417
53.833008	-60.797192
56.524658	-60.257813
59.216309	-43.912086
61.907959	-40.705563
64.599609	-54.003700
67.291260	-56.907963
69.982910	-52.291080
72.674561	-48.646358
75.366211	-54.581142
78.057861	-56.051952
80.749512	-47.176769
83.441162	-53.025791
86.132813	-45.277172
88.824463	-48.950367
91.516113	-49.195248
94.207764	-51.779285
96.899414	-51.399204
99.591064	-48.974903
102.282715	-40.754265
104.974365	-43.631859
107.666016	-40.968960
110.357666	-58.420937
113.049316	-45.758385
115.740967	-40.762299
118.432617	-36.249245
121.124268	-33.744625
123.815918	-32.291519
126.507568	-31.734148
129.199219	-37.006760
131.890869	-31.476377
134.582520	-32.822186
137.274170	-31.036573
139.965820	-32.385323
142.657471	-26.958893
145.349121	-28.589567
148.040771	-34.446896
150.732422	-42.920334
153.424072	-36.977310
156.115723	-40.885902
158.807373	-37.606110
161.499023	-31.468458
164.190674	-28.636309
166.882324	-22.489304
169.573975	-17.614231
172.265625	-24.484867
174.957275	-33.249996
177.648926	-31.936483
180.340576	-31.433407
183.032227	-31.262457
185.723877	-32.845116
188.415527	-34.345566
191.107178	-47.337837
193.798828	-31.301596
196.490479	-42.003479
199.182129	-35.201015
201.873779	-31.634661
204.565430	-27.848013
207.257080	-28.550470
209.948730	-31.760302
212.640381	-16.368933
215.332031	-13.800867
218.023682	-24.227663
220.715332	-25.988590
223.406982	-23.377163
226.098633	-24.375214
228.790283	-27.561405
231.481934	-40.941704
234.173584	-25.434547
236.865234	-27.979599
239.556885	-30.877905
242.248535	-28.512983
244.940186	-37.417820
247.631836	-34.354927
250.323486	-27.321098
253.015137	-37.436890
255.706787	-39.329132
258.398438	-41.373028
261.090088	-47.402145
263.781738	-44.675156
266.473389	-51.955944
269.165039	-53.278008
271.856689	-59.094528
274.548340	-55.263805
277.239990	-46.097706
279.931641	-49.011066
282.623291	-50.356365
285.314941	-46.444221
288.006592	-40.844067
290.698242	-44.556522
293.389893	-57.459435
296.081543	-52.843529
298.773193	-47.451050
301.464844	-44.906479
304.156494	-42.895706
306.848145	-39.363270
309.539795	-47.364727
312.231445	-45.192158
314.923096	-58.177055
317.614746	-42.191570
320.306396	-37.202900
322.998047	-47.987179
325.689697	-36.334183
328.381348	-48.506058
331.072998	-38.589390
333.764648	-31.629539
336.456299	-21.912333
339.147949	-25.182899
341.839600	-38.417885
344.531250	-40.074829
347.222900	-43.398254
349.914551	-46.621567
352.606201	-46.273029
355.297852	-53.586670
357.989502	-48.068047
360.681152	-46.484081
363.372803	-40.966076
366.064453	-42.823631
368.756104	-49.820442
371.447754	-48.795670
374.139404	-48.665207
376.831055	-43.365158
379.522705	-44.172321
382.214355	-46.839375
384.906006	-36.924259
387.597656	-38.831562
390.289307	-44.861393
392.980957	-41.477142
395.672607	-46.173943
398.364258	-40.834782
401.055908	-38.181480
403.747559	-59.511349
406.439209	-68.504684
409.130859	-66.299271
411.822510	-44.798866
414.514160	-47.602623
417.205811	-48.654076
419.897461	-47.333717
422.589111	-41.411037
425.280762	-27.432981
427.972412	-19.739632
430.664063	-22.543791
433.355713	-32.416706
436.047363	-38.520489
438.739014	-41.261402
441.430664	-45.672066
444.122314	-42.793278
446.813965	-50.177849
449.505615	-54.204006
452.197266	-45.095879
454.888916	-40.892483
457.580566	-38.975880
460.272217	-41.708744
462.963867	-47.324032
465.655518	-47.905571
468.347168	-47.341866
471.038818	-49.930500
473.730469	-49.740276
476.422119	-59.997559
479.113770	-54.313976
481.805420	-47.429878
484.497070	-48.785732
487.188721	-58.066673
489.880371	-46.776615
492.572021	-55.658730
495.263672	-43.958511
497.955322	-57.980473
500.646973	-45.102623
503.338623	-35.911968
506.030273	-32.005062
508.721924	-37.166477
511.413574	-52.820171
514.105225	-59.291489
516.796875	-52.860886
519.488525	-56.810345
522.180176	-50.516071
524.871826	-48.861641
527.563477	-49.835964
530.255127	-66.584717
532.946777	-49.078014
535.638428	-45.984188
538.330078	-50.223717
541.021729	-63.428619
543.713379	-55.458691
546.405029	-57.678234
