Frequency (Hz)	Level (dB)
2.691650	-60.103210
5.383301	-54.664837
8.074951	-57.666557
10.766602	-51.448048
13.458252	-69.093895
16.149902	-49.403862
18.841553	-53.743835
21.533203	-60.202805
24.224854	-55.511425
26.916504	-48.886982
29.608154	-50.331188
32.299805	-51.792610
34.991455	-45.091045
37.683105	-48.580257
40.374756	-63.852215
43.066406	-50.112797
45.758057	-47.587856
48.449707	-47.927155
51.141357	-46.626019
53.833008	-47.433807
56.524658	-62.602234
59.216309	-45.828323
61.907959	-42.101223
64.599609	-42.939968
67.291260	-42.650639
69.982910	-41.191265
72.674561	-49.923660
75.366211	-52.081451
78.057861	-48.425102
80.749512	-46.574478
83.441162	-49.910988
86.132813	-48.237274
88.824463	-42.358841
91.516113	-48.726063
94.207764	-47.194534
96.899414	-48.659599
99.591064	-45.832150
102.282715	-38.560177
104.974365	-57.701828
107.666016	-37.859180
110.357666	-41.371517
113.049316	-38.158962
115.740967	-41.231503
118.432617	-39.620438
121.124268	-33.671124
123.815918	-35.567043
126.507568	-26.309851
129.199219	-30.046997
131.890869	-33.401180
134.582520	-33.304291
137.274170	-34.862286
139.965820	-32.929127
142.657471	-37.579319
145.349121	-29.529678
148.040771	-33.873245
150.732422	-41.704777
153.424072	-39.432217
156.115723	-49.758057
158.807373	-34.812050
161.499023	-30.941877
164.190674	-32.839119
166.882324	-32.846581
169.573975	-35.004440
172.265625	-36.217575
174.957275	-23.110865
177.648926	-27.675581
180.340576	-21.546509
183.032227	-14.257187
185.723877	-14.224299
188.415527	-20.914101
191.107178	-30.687471
193.798828	-32.138557
196.490479	-26.917637
199.182129	-28.901976
201.873779	-40.514690
204.565430	-24.237022
207.257080	-20.153053
209.948730	-20.331514
212.640381	-17.966322
215.332031	-22.741955
218.023682	-21.520065
220.715332	-28.751301
223.406982	-19.397755
226.098633	-22.971123
228.790283	-37.664181
231.481934	-31.585228
234.173584	-47.361588
236.865234	-31.681929
239.556885	-31.358526
242.248535	-28.874428
244.940186	-35.709892
247.631836	-34.666946
250.323486	-39.753986
253.015137	-34.853317
255.706787	-33.748207
258.398438	-33.927322
261.090088	-30.726688
263.781738	-29.138418
266.473389	-32.685238
269.165039	-38.999966
271.856689	-34.946495
274.548340	-30.766443
277.239990	-42.512074
279.931641	-43.803539
282.623291	-38.735233
285.314941	-37.930519
288.006592	-44.236511
290.698242	-41.853806
293.389893	-51.024143
296.081543	-56.144840
298.773193	-44.760799
301.464844	-43.975231
304.156494	-44.612740
306.848145	-38.209160
309.539795	-35.727280
312.231445	-36.266529
314.923096	-47.369564
317.614746	-39.583694
320.306396	-40.961956
322.998047	-33.000580
325.689697	-33.426678
328.381348	-27.890932
331.072998	-28.341398
333.764648	-56.072113
336.456299	-34.618473
339.147949	-36.172714
341.839600	-35.172348
344.531250	-31.606220
347.222900	-31.659966
349.914551	-31.654337
352.606201	-37.764519
355.297852	-39.598915
357.989502	-42.904209
360.681152	-26.403616
363.372803	-25.962059
366.064453	-26.224173
368.756104	-22.266148
371.447754	-26.191038
374.139404	-32.430351
376.831055	-34.345711
379.522705	-31.863449
382.214355	-39.305943
384.906006	-40.616158
387.597656	-40.766327
390.289307	-44.143169
392.980957	-36.296909
395.672607	-35.903931
398.364258	-30.240858
401.055908	-29.662193
403.747559	-39.742706
406.439209	-35.824486
409.130859	-34.226887
411.822510	-29.511545
414.514160	-25.022970
417.205811	-26.909929
419.897461	-29.801939
422.589111	-35.141022
425.280762	-40.267857
427.972412	-59.436062
430.664063	-41.112953
433.355713	-48.220760
436.047363	-51.110481
438.739014	-52.504013
441.430664	-41.029438
444.122314	-40.049179
446.813965	-51.198051
449.505615	-42.643845
452.197266	-36.094780
454.888916	-34.301044
457.580566	-37.598305
460.272217	-32.118183
462.963867	-30.197163
465.655518	-41.619015
468.347168	-43.622250
471.038818	-41.540520
473.730469	-39.480316
476.422119	-51.928268
479.113770	-49.329144
481.805420	-47.159695
484.497070	-64.362297
487.188721	-48.226284
489.880371	-50.719238
492.572021	-46.967522
495.263672	-53.469444
497.955322	-52.384209
500.646973	-45.052582
503.338623	-44.959583
506.030273	-56.859364
508.721924	-53.821636
511.413574	-54.899734
514.105225	-47.778820
516.796875	-41.902393
519.488525	-41.783524
522.180176	-41.304585
524.871826	-42.695976
527.563477	-52.692600
530.255127	-46.517048
532.946777	-48.897346
535.638428	-47.883667
538.330078	-45.780525
541.021729	-40.988434
543.713379	-37.583885
546.405029	-36.202431
549.096680	-39.334663
551.788330	-37.860558
554.479980	-40.617260
557.171631	-43.079010
559.863281	-51.411285
562.554932	-51.897118
565.246582	-47.458031
567.938232	-54.438862
570.629883	-49.385700
573.321533	-39.753067
576.013184	-43.625336
578.704834	-45.638157
581.396484	-50.344700
584.088135	-43.351917
586.779785	-45.700115
589.471436	-38.584488
592.163086	-44.798206
594.854736	-45.867733
597.546387	-43.264694
600.238037	-44.578686
602.929688	-37.603146
605.621338	-36.436935
608.312988	-40.779053
611.004639	-38.901447
613.696289	-40.366177
616.387939	-42.281200
619.079590	-46.497536
621.771240	-58.166069
624.462891	-50.207218
627.154541	-51.219742
629.846191	-44.192898
632.537842	-39.239933
635.229492	-38.634579
637.921143	-48.805954
640.612793	-52.763290
643.304443	-54.361839
645.996094	-58.360397
648.687744	-47.494598
651.379395	-52.817062
654.071045	-45.576889
656.762695	-49.948959
659.454346	-44.362335
662.145996	-46.951820
664.837646	-45.940895
667.529297	-46.098270
670.220947	-58.134815
672.912598	-51.552593
675.604248	-54.092743
678.295898	-48.622593
680.987549	-59.823315
683.679199	-48.267433
686.370850	-49.933128
689.062500	-49.672535
691.754150	-54.144821
694.445801	-46.175682
697.137451	-49.812630
699.829102	-52.301609
702.520752	-43.530762
705.212402	-47.747639
707.904053	-53.512104
710.595703	-58.401886
713.287354	-44.839718
715.979004	-49.199638
718.670654	-47.724720
721.362305	-48.197304
724.053955	-49.324638
726.745605	-46.450703
729.437256	-46.735199
732.128906	-41.059380
734.820557	-36.546585
737.512207	-40.474689
740.203857	-45.166431
742.895508	-39.266373
745.587158	-49.253502
748.278809	-50.561134
750.970459	-68.637054
753.662109	-55.443245
756.353760	-53.671825
759.045410	-52.170593
761.737061	-47.186268
764.428711	-57.020393
767.120361	-55.290371
769.812012	-53.544945
772.503662	-51.628654
775.195313	-49.430614
777.886963	-43.399975
780.578613	-60.084637
783.270264	-45.496346
785.961914	-47.949230
788.653564	-57.084232
791.345215	-55.987053
794.036865	-47.873856
796.728516	-51.984642
799.420166	-46.326920
802.111816	-42.676640
804.803467	-41.024242
807.495117	-45.658764
810.186768	-44.065987
812.878418	-40.394627
815.570068	-43.856110
818.261719	-41.347385
820.953369	-36.554932
823.645020	-43.936630
826.336670	-44.086288
829.028320	-44.020069
831.719971	-47.898808
834.411621	-44.056309
837.103271	-41.100517
839.794922	-40.222992
842.486572	-43.407955
845.178223	-44.032875
847.869873	-56.126858
850.561523	-46.878723
853.253174	-44.707355
855.944824	-49.797779
858.636475	-50.358150
861.328125	-47.338093
864.019775	-46.599457
866.711426	-47.413002
869.403076	-42.901268
872.094727	-37.747963
874.786377	-37.792862
877.478027	-39.122658
880.169678	-47.192436
882.861328	-52.012238
885.552979	-49.639839
888.244629	-45.393032
890.936279	-49.923843
893.627930	-61.038116
896.319580	-51.925034
899.011230	-47.305099
901.702881	-55.221493
904.394531	-48.845032
907.086182	-43.665791
909.777832	-41.619312
912.469482	-51.502628
915.161133	-43.853863
917.852783	-48.897194
920.544434	-50.035530
923.236084	-40.679745
925.927734	-41.205044
928.619385	-43.044167
931.311035	-37.688396
934.002686	-37.406353
936.694336	-39.274590
939.385986	-42.122665
942.077637	-44.407833
944.769287	-39.075298
947.460938	-40.624146
950.152588	-48.895878
952.844238	-48.573803
955.535889	-43.224186
958.227539	-48.518044
960.919189	-43.148815
963.610840	-51.423573
966.302490	-44.308628
968.994141	-47.180954
971.685791	-51.136578
974.377441	-47.280640
977.069092	-46.640965
979.760742	-49.152088
982.452393	-45.473446
985.144043	-43.427235
987.835693	-55.997738
990.527344	-55.418552
993.218994	-44.523540
995.910645	-46.349945
998.602295	-43.256607
1001.293945	-36.928753
1003.985596	-34.105705
1006.677246	-35.563335
1009.368896	-30.296770
1012.060547	-27.266768
1014.752197	-26.573296
1017.443848	-28.893431
1020.135498	-42.638741
1022.827148	-44.725155
1025.518799	-42.668316
1028.210449	-45.862370
1030.902100	-48.529881
1033.593750	-50.825275
1036.285400	-44.248825
1038.977051	-42.578991
1041.668701	-44.928257
1044.360352	-57.237022
1047.052002	-45.674938
1049.743652	-48.061996
1052.435303	-58.171669
1055.126953	-50.815247
1057.818604	-50.449478
1060.510254	-47.938675
1063.201904	-57.845440
1065.893555	-52.539700
1068.585205	-55.734695
1071.276855	-57.964062
1073.968506	-58.179649
1076.660156	-63.070377
1079.351807	-54.848240
1082.043457	-56.727554
1084.735107	-48.690819
1087.426758	-65.788193
1090.118408	-51.362797
1092.810059	-47.054340
1095.501709	-55.179249
1098.193359	-73.404175
1100.885010	-49.663876
1103.576660	-49.426685
1106.268311	-51.165913
1108.959961	-53.458508
1111.651611	-60.044289
1114.343262	-58.896076
1117.034912	-55.314941
1119.726563	-47.445595
1122.418213	-49.408581
1125.109863	-58.490704
1127.801514	-67.184868
1130.493164	-71.004997
1133.184814	-63.661049
1135.876465	-53.548275
1138.568115	-59.354958
1141.259766	-56.932766
1143.951416	-55.922176
1146.643066	-49.542084
1149.334717	-56.064610
1152.026367	-47.411591
1154.718018	-48.000107
1157.409668	-49.717800
1160.101318	-48.131226
1162.792969	-43.693043
1165.484619	-47.940666
1168.176270	-57.046539
1170.867920	-52.745277
1173.559570	-55.461887
1176.251221	-50.746635
1178.942871	-56.319279
1181.634521	-54.920746
1184.326172	-58.960880
1187.017822	-56.292950
1189.709473	-51.748089
1192.401123	-56.817764
1195.092773	-51.256485
1197.784424	-50.480949
1200.476074	-64.338074
1203.167725	-53.528294
1205.859375	-55.868877
1208.551025	-61.113277
1211.242676	-53.318100
1213.934326	-67.066704
1216.625977	-52.582375
1219.317627	-60.109169
1222.009277	-52.324966
1224.700928	-48.609543
1227.392578	-44.367970
1230.084229	-44.668961
1232.775879	-51.038326
1235.467529	-53.339428
1238.159180	-60.942757
1240.850830	-60.795265
1243.542480	-51.736908
1246.234131	-52.403255
1248.925781	-58.813931
1251.617432	-54.552982
1254.309082	-53.426743
1257.000732	-59.461174
1259.692383	-60.849434
1262.384033	-57.108459
1265.075684	-55.873787
1267.767334	-49.706341
1270.458984	-52.894554
1273.150635	-49.981052
1275.842285	-53.830399
1278.533936	-53.928886
1281.225586	-50.894367
1283.917236	-45.439476
1286.608887	-48.590694
1289.300537	-47.940868
1291.992188	-43.484947
1294.683838	-46.003815
1297.375488	-47.184845
1300.067139	-46.740395
1302.758789	-48.660141
1305.450439	-43.928413
1308.142090	-44.003960
1310.833740	-55.487354
1313.525391	-47.354424
1316.217041	-47.078690
1318.908691	-59.083344
1321.600342	-49.192280
1324.291992	-46.279205
1326.983643	-45.721920
1329.675293	-51.633095
1332.366943	-66.144783
1335.058594	-53.571533
1337.750244	-48.526009
1340.441895	-49.769047
1343.133545	-54.514664
1345.825195	-52.019054
1348.516846	-75.648956
1351.208496	-68.552147
1353.900146	-56.959923
1356.591797	-52.844170
1359.283447	-52.764099
1361.975098	-53.781681
1364.666748	-55.498302
1367.358398	-54.727959
1370.050049	-55.122646
1372.741699	-60.849834
1375.433350	-56.752045
1378.125000	-51.613457
