Frequency (Hz)	Level (dB)
2.691650	-55.374580
5.383301	-64.610756
8.074951	-53.934814
10.766602	-60.875595
13.458252	-60.989017
16.149902	-62.533134
18.841553	-59.382595
21.533203	-53.799236
24.224854	-50.925056
26.916504	-46.441948
29.608154	-48.188938
32.299805	-46.273499
34.991455	-52.026577
37.683105	-56.009331
40.374756	-45.750847
43.066406	-46.446369
45.758057	-51.251263
48.449707	-58.750267
51.141357	-41.303722
53.833008	-39.060600
56.524658	-49.992489
59.216309	-43.264011
61.907959	-39.263901
64.599609	-42.092800
67.291260	-45.940765
69.982910	-41.946522
72.674561	-48.009422
75.366211	-49.906441
78.057861	-46.153442
80.749512	-50.645077
83.441162	-47.762112
86.132813	-48.859943
88.824463	-53.453743
91.516113	-44.624390
94.207764	-37.934799
96.899414	-52.080219
99.591064	-35.302185
102.282715	-34.133121
104.974365	-33.915089
107.666016	-41.341286
110.357666	-58.430710
113.049316	-48.125256
115.740967	-40.526566
118.432617	-40.103958
121.124268	-33.332138
123.815918	-29.760025
126.507568	-33.725319
129.199219	-35.807446
131.890869	-30.903708
134.582520	-36.056953
137.274170	-46.309837
139.965820	-45.754002
142.657471	-36.325188
145.349121	-44.974140
148.040771	-31.306080
150.732422	-35.322136
153.424072	-38.120144
156.115723	-32.422623
158.807373	-36.084682
161.499023	-29.878506
164.190674	-32.537216
166.882324	-40.639618
169.573975	-38.521141
172.265625	-32.267208
174.957275	-35.368130
177.648926	-35.573643
180.340576	-31.687817
183.032227	-27.650333
185.723877	-29.797579
188.415527	-24.830839
191.107178	-24.325912
193.798828	-31.599964
196.490479	-28.990549
199.182129	-29.726435
201.873779	-37.050156
204.565430	-26.537006
207.257080	-22.407362
209.948730	-19.377518
212.640381	-24.798361
215.332031	-24.151011
218.023682	-24.065737
220.715332	-32.259995
223.406982	-26.098429
226.098633	-18.554098
228.790283	-20.364656
231.481934	-23.000355
234.173584	-30.199947
236.865234	-27.274906
239.556885	-25.560766
242.248535	-31.949131
244.940186	-33.469227
247.631836	-42.382378
250.323486	-34.137630
253.015137	-29.557211
255.706787	-30.736130
258.398438	-32.947014
261.090088	-28.817123
263.781738	-39.988976
266.473389	-33.618671
269.165039	-27.626596
271.856689	-28.788822
274.548340	-35.548035
277.239990	-22.857710
279.931641	-22.577297
282.623291	-36.195286
285.314941	-27.587624
288.006592	-38.608917
290.698242	-31.376770
293.389893	-30.212275
296.081543	-60.858730
298.773193	-26.824472
301.464844	-22.978491
304.156494	-28.194969
306.848145	-25.854336
309.539795	-25.046999
312.231445	-27.342520
314.923096	-27.234941
317.614746	-25.552128
320.306396	-34.491722
322.998047	-34.947178
325.689697	-27.537560
328.381348	-27.705248
331.072998	-33.412090
333.764648	-37.882050
336.456299	-31.424282
339.147949	-28.147917
341.839600	-31.611471
344.531250	-30.765238
347.222900	-37.089191
349.914551	-27.798206
352.606201	-26.160877
355.297852	-28.353237
357.989502	-38.943451
360.681152	-32.787189
363.372803	-34.823177
366.064453	-42.913429
368.756104	-31.028269
371.447754	-28.039831
374.139404	-28.418785
376.831055	-31.732676
379.522705	-44.548573
382.214355	-38.039986
384.906006	-35.161263
387.597656	-33.474476
390.289307	-35.991562
392.980957	-37.738716
395.672607	-50.817757
398.364258	-45.799206
401.055908	-40.171432
403.747559	-40.985249
406.439209	-41.626057
409.130859	-33.983883
411.822510	-37.460941
414.514160	-36.101368
417.205811	-35.495968
419.897461	-32.757805
422.589111	-36.825798
425.280762	-29.804899
427.972412	-29.867271
430.664063	-42.897388
433.355713	-35.145687
436.047363	-38.449642
438.739014	-47.916878
441.430664	-38.780537
444.122314	-39.606373
446.813965	-26.371853
449.505615	-17.994158
452.197266	-17.901829
454.888916	-23.076897
457.580566	-28.910992
460.272217	-35.752731
462.963867	-40.502899
465.655518	-34.087906
468.347168	-36.252975
471.038818	-33.419853
473.730469	-37.631603
476.422119	-34.581989
479.113770	-34.730690
481.805420	-37.666332
484.497070	-39.937428
487.188721	-39.672447
489.880371	-30.945747
492.572021	-33.193493
495.263672	-29.017481
497.955322	-41.708714
500.646973	-28.578348
503.338623	-43.546867
506.030273	-32.135826
508.721924	-38.624947
511.413574	-31.262423
514.105225	-33.730270
516.796875	-35.317631
519.488525	-30.318993
522.180176	-28.704788
524.871826	-40.263969
527.563477	-43.243488
530.255127	-39.930641
532.946777	-42.390938
535.638428	-38.851612
538.330078	-36.642784
