Frequency (Hz)	Level (dB)
2.691650	-148.585739
5.383301	-188.991455
8.074951	-177.274017
10.766602	-184.933243
13.458252	-181.266281
16.149902	-182.312927
18.841553	-182.111862
21.533203	-196.416367
24.224854	-187.655090
26.916504	-189.055161
29.608154	-193.321259
32.299805	-202.844025
34.991455	-197.708145
37.683105	-204.052612
40.374756	-196.144287
43.066406	-189.324326
45.758057	-198.751785
48.449707	-198.084869
51.141357	-199.743805
53.833008	-196.547470
56.524658	-187.847473
59.216309	-190.353119
61.907959	-182.151611
64.599609	-184.415344
67.291260	-196.481232
69.982910	-191.997177
72.674561	-188.644379
75.366211	-185.300140
78.057861	-187.833160
80.749512	-187.779160
83.441162	-184.939941
86.132813	-185.253387
88.824463	-211.469620
91.516113	-185.750610
94.207764	-184.538330
96.899414	-187.794785
99.591064	-185.991272
102.282715	-185.697998
104.974365	-191.395294
107.666016	-191.959610
110.357666	-202.001938
113.049316	-204.514862
115.740967	-190.347977
118.432617	-188.741302
121.124268	-188.293976
123.815918	-189.289352
126.507568	-187.051605
129.199219	-189.121216
131.890869	-202.550491
134.582520	-197.314545
137.274170	-193.389847
139.965820	-192.072601
142.657471	-194.831451
145.349121	-196.811920
148.040771	-192.331390
150.732422	-191.836807
153.424072	-189.767303
156.115723	-204.565872
158.807373	-186.975433
161.499023	-184.433868
164.190674	-201.560272
166.882324	-186.511108
169.573975	-183.638428
172.265625	-188.011475
174.957275	-201.242905
177.648926	-203.783920
180.340576	-190.441437
183.032227	-185.742188
185.723877	-183.863007
188.415527	-186.512802
191.107178	-197.157730
193.798828	-200.232391
196.490479	-191.236542
199.182129	-187.321884
201.873779	-194.366943
204.565430	-187.833313
207.257080	-183.478821
209.948730	-185.126221
212.640381	-185.308304
215.332031	-187.751648
218.023682	-183.050217
220.715332	-178.922623
223.406982	-183.257813
226.098633	-197.134811
228.790283	-183.313461
231.481934	-186.712799
234.173584	-192.918961
236.865234	-186.794144
239.556885	-188.879623
242.248535	-177.036194
244.940186	-171.986496
247.631836	-171.827621
250.323486	-178.558731
253.015137	-183.797760
255.706787	-174.406586
258.398438	-172.599319
261.090088	-176.030045
263.781738	-185.168350
266.473389	-195.710754
269.165039	-185.190536
271.856689	-175.986526
274.548340	-174.702362
277.239990	-176.690369
279.931641	-166.645935
282.623291	-161.747528
285.314941	-160.870178
288.006592	-160.905991
290.698242	-160.042267
293.389893	-157.414124
296.081543	-155.061676
298.773193	-154.249969
301.464844	-154.039429
304.156494	-152.919968
306.848145	-151.987000
309.539795	-152.041824
312.231445	-151.271896
314.923096	-149.560410
317.614746	-149.337128
320.306396	-151.768341
322.998047	-152.934311
325.689697	-148.621323
328.381348	-146.628265
331.072998	-148.016174
333.764648	-154.782211
336.456299	-153.893021
339.147949	-147.182281
341.839600	-145.913910
344.531250	-148.830276
347.222900	-160.009674
349.914551	-151.772110
352.606201	-147.476288
355.297852	-147.564453
357.989502	-149.867447
360.681152	-150.166977
363.372803	-149.235550
366.064453	-149.491180
368.756104	-149.507980
371.447754	-147.454926
374.139404	-146.959091
376.831055	-150.316269
379.522705	-161.532669
382.214355	-150.695831
384.906006	-146.368057
387.597656	-146.280609
390.289307	-150.784485
392.980957	-158.410278
395.672607	-148.696304
398.364258	-146.285110
401.055908	-147.726242
403.747559	-152.432556
406.439209	-152.415253
409.130859	-149.487946
411.822510	-149.440308
414.514160	-150.846542
417.205811	-151.718582
419.897461	-152.126526
422.589111	-153.099869
425.280762	-153.784286
427.972412	-153.713882
430.664063	-152.887833
433.355713	-155.183868
436.047363	-158.739365
438.739014	-152.455948
441.430664	-151.397537
444.122314	-152.650391
446.813965	-151.057510
449.505615	-154.674911
452.197266	-153.367661
454.888916	-148.652069
457.580566	-146.774826
460.272217	-146.511307
462.963867	-146.594070
465.655518	-148.851974
468.347168	-152.241333
471.038818	-146.443634
473.730469	-143.128494
476.422119	-141.678345
479.113770	-144.857452
481.805420	-151.526962
484.497070	-148.778168
487.188721	-147.036530
489.880371	-148.977997
492.572021	-161.392258
495.263672	-147.668533
497.955322	-144.839569
500.646973	-144.936874
503.338623	-156.325943
506.030273	-154.755508
508.721924	-145.418030
511.413574	-144.422348
514.105225	-148.305649
516.796875	-172.833755
519.488525	-150.662796
522.180176	-160.594025
524.871826	-160.068359
527.563477	-146.622086
530.255127	-142.938614
532.946777	-140.582657
535.638428	-143.391220
538.330078	-144.667679
541.021729	-147.805923
543.713379	-148.307465
546.405029	-150.807327
549.096680	-146.103241
551.788330	-143.147842
554.479980	-142.580795
557.171631	-143.233734
559.863281	-142.139404
562.554932	-143.156418
565.246582	-146.067627
567.938232	-154.318817
570.629883	-156.722900
573.321533	-148.757294
576.013184	-150.686798
578.704834	-148.526016
581.396484	-151.314041
584.088135	-146.232651
586.779785	-152.691055
589.471436	-164.330002
592.163086	-146.890244
594.854736	-146.996994
597.546387	-145.963837
600.238037	-145.885468
602.929688	-154.280960
605.621338	-149.806305
608.312988	-144.930786
611.004639	-149.339874
613.696289	-149.422333
616.387939	-150.489197
619.079590	-146.364578
621.771240	-144.406647
624.462891	-155.028687
627.154541	-146.921616
629.846191	-146.049667
632.537842	-146.243790
635.229492	-144.501358
637.921143	-143.811066
640.612793	-148.525696
643.304443	-146.571594
645.996094	-158.060379
648.687744	-151.162094
651.379395	-145.278503
654.071045	-139.375992
656.762695	-143.422073
659.454346	-158.912628
662.145996	-146.233765
664.837646	-144.210464
667.529297	-150.667053
670.220947	-141.528900
672.912598	-144.757050
675.604248	-150.956894
678.295898	-145.441147
680.987549	-137.688553
683.679199	-141.528610
686.370850	-139.094009
689.062500	-142.150177
691.754150	-147.229340
694.445801	-144.778336
697.137451	-142.514786
699.829102	-145.806076
702.520752	-147.536484
705.212402	-146.695404
707.904053	-161.715317
710.595703	-151.653122
713.287354	-147.386261
715.979004	-147.978516
718.670654	-150.118774
721.362305	-146.187607
724.053955	-145.212845
726.745605	-154.552887
729.437256	-144.291016
732.128906	-145.100555
734.820557	-149.794083
737.512207	-147.416046
740.203857	-139.983917
742.895508	-138.837585
745.587158	-147.797684
748.278809	-146.123138
750.970459	-138.711700
753.662109	-138.729614
756.353760	-145.266251
759.045410	-145.441833
761.737061	-140.974731
764.428711	-145.446030
