Frequency (Hz)	Level (dB)
2.691650	-54.138222
5.383301	-61.123863
8.074951	-59.522961
10.766602	-64.476097
13.458252	-66.932014
16.149902	-54.070660
18.841553	-50.137890
21.533203	-55.595177
24.224854	-60.035088
26.916504	-46.668571
29.608154	-48.154667
32.299805	-51.573032
34.991455	-52.130043
37.683105	-48.356010
40.374756	-54.468925
43.066406	-42.483627
45.758057	-36.037643
48.449707	-42.985798
51.141357	-43.257786
53.833008	-44.894035
56.524658	-45.056229
59.216309	-33.444736
61.907959	-34.672005
64.599609	-54.088646
67.291260	-41.045799
69.982910	-40.568924
72.674561	-45.928696
75.366211	-66.095917
78.057861	-55.158413
80.749512	-51.589214
83.441162	-41.509968
86.132813	-49.963306
88.824463	-45.376877
91.516113	-46.691372
94.207764	-44.266354
96.899414	-52.359325
99.591064	-44.221035
102.282715	-41.487255
104.974365	-47.205360
107.666016	-36.811848
110.357666	-34.838779
113.049316	-33.241867
115.740967	-33.044178
118.432617	-26.508112
121.124268	-25.976154
123.815918	-32.403988
126.507568	-28.380556
129.199219	-30.298529
131.890869	-22.146673
134.582520	-25.195814
137.274170	-31.649925
139.965820	-25.714951
142.657471	-26.223198
145.349121	-35.076233
148.040771	-32.907455
150.732422	-34.533218
153.424072	-32.994400
156.115723	-38.650574
158.807373	-35.095169
161.499023	-51.997650
164.190674	-36.382488
166.882324	-43.134354
169.573975	-37.633251
172.265625	-36.132412
174.957275	-30.754192
177.648926	-37.974243
180.340576	-30.120356
183.032227	-33.839867
185.723877	-29.632971
188.415527	-37.506714
191.107178	-49.790394
193.798828	-31.370123
196.490479	-34.041824
199.182129	-36.847050
201.873779	-30.636171
204.565430	-20.431114
207.257080	-20.320333
209.948730	-39.129684
212.640381	-22.632748
215.332031	-20.931734
218.023682	-22.688477
220.715332	-20.875004
223.406982	-17.880804
226.098633	-20.249819
228.790283	-24.594099
231.481934	-20.170662
234.173584	-24.838003
236.865234	-41.866909
239.556885	-28.170277
242.248535	-28.593204
244.940186	-27.712650
247.631836	-29.785564
250.323486	-39.552082
253.015137	-38.368484
255.706787	-35.249374
258.398438	-33.020576
261.090088	-23.891743
263.781738	-23.922327
266.473389	-22.926628
269.165039	-19.914370
271.856689	-22.619307
274.548340	-26.079710
277.239990	-27.091496
279.931641	-29.992153
282.623291	-36.494926
285.314941	-25.749266
288.006592	-16.753525
290.698242	-17.602991
293.389893	-22.946821
296.081543	-33.248230
298.773193	-42.983734
301.464844	-36.192955
304.156494	-30.352240
306.848145	-32.659092
309.539795	-33.183403
312.231445	-29.292191
314.923096	-32.897213
317.614746	-29.762785
320.306396	-30.630081
322.998047	-34.635578
325.689697	-35.703697
328.381348	-40.982651
331.072998	-39.862408
333.764648	-39.396214
336.456299	-49.176952
339.147949	-41.321213
341.839600	-43.830082
344.531250	-39.184978
347.222900	-36.107388
349.914551	-34.542370
352.606201	-35.106117
355.297852	-31.373653
357.989502	-29.581598
360.681152	-44.607216
363.372803	-28.412865
366.064453	-36.460640
368.756104	-29.340256
371.447754	-23.174162
374.139404	-28.729301
376.831055	-29.825304
379.522705	-30.763844
382.214355	-34.124435
384.906006	-60.414391
387.597656	-37.899185
390.289307	-51.392975
392.980957	-58.434216
395.672607	-35.145851
398.364258	-42.896786
401.055908	-33.805782
403.747559	-33.971405
406.439209	-38.231243
409.130859	-34.311436
411.822510	-39.978245
414.514160	-38.183292
417.205811	-43.281391
419.897461	-41.652699
422.589111	-51.266167
425.280762	-36.594257
427.972412	-55.498005
430.664063	-40.592873
433.355713	-32.326889
436.047363	-30.434193
438.739014	-48.528481
441.430664	-33.221817
444.122314	-30.895672
446.813965	-47.015644
449.505615	-32.418644
452.197266	-33.360065
454.888916	-43.915604
457.580566	-40.316124
460.272217	-38.084824
462.963867	-43.114861
465.655518	-47.540234
468.347168	-52.906361
471.038818	-46.360508
473.730469	-58.648163
476.422119	-52.110291
479.113770	-48.442574
481.805420	-55.096386
484.497070	-52.120975
487.188721	-45.406063
489.880371	-44.988155
492.572021	-42.064056
495.263672	-40.992752
497.955322	-49.242805
500.646973	-51.265320
503.338623	-46.371452
506.030273	-43.899265
508.721924	-47.483200
511.413574	-37.107861
514.105225	-36.982391
516.796875	-34.103527
519.488525	-34.467213
522.180176	-38.854813
524.871826	-31.965164
527.563477	-37.752880
530.255127	-33.950443
532.946777	-30.584160
535.638428	-29.914574
538.330078	-29.242325
541.021729	-28.078131
543.713379	-28.153065
546.405029	-29.091843
549.096680	-38.716824
551.788330	-41.605190
554.479980	-46.721916
557.171631	-42.726639
559.863281	-50.777004
562.554932	-51.917389
565.246582	-44.477757
567.938232	-43.202808
570.629883	-39.393814
573.321533	-32.119518
576.013184	-33.579720
578.704834	-38.864361
581.396484	-34.579098
584.088135	-36.091610
586.779785	-37.526024
589.471436	-43.794834
592.163086	-39.306911
594.854736	-39.248566
597.546387	-45.180374
600.238037	-46.358208
602.929688	-38.458836
605.621338	-35.192017
608.312988	-40.173283
611.004639	-51.154720
613.696289	-39.185890
616.387939	-35.851967
619.079590	-32.691452
621.771240	-40.882454
624.462891	-30.993523
627.154541	-30.821941
629.846191	-46.929005
632.537842	-43.725391
635.229492	-69.021782
637.921143	-43.524120
640.612793	-50.739700
643.304443	-43.079342
645.996094	-45.824379
648.687744	-54.392300
651.379395	-51.826004
654.071045	-44.248096
656.762695	-39.261436
659.454346	-43.391945
662.145996	-45.188293
664.837646	-46.354965
667.529297	-42.409752
670.220947	-41.081284
672.912598	-39.865017
675.604248	-45.548504
678.295898	-43.593925
680.987549	-52.256470
683.679199	-49.683376
686.370850	-47.314739
689.062500	-54.942669
691.754150	-52.532730
694.445801	-49.036804
697.137451	-51.627022
699.829102	-43.979740
702.520752	-40.379166
705.212402	-50.210629
707.904053	-51.109558
710.595703	-48.656353
713.287354	-48.609116
715.979004	-52.086048
718.670654	-38.731060
721.362305	-40.417850
724.053955	-38.440521
726.745605	-36.090130
729.437256	-44.154068
732.128906	-42.222095
734.820557	-37.330563
737.512207	-34.070656
740.203857	-30.503859
742.895508	-32.015614
745.587158	-39.136250
748.278809	-43.296761
750.970459	-35.860996
753.662109	-34.676239
756.353760	-42.342216
759.045410	-46.510754
