Frequency (Hz)	Level (dB)
2.691650	-68.614594
5.383301	-57.284817
8.074951	-52.401978
10.766602	-48.765553
13.458252	-52.001282
16.149902	-60.369282
18.841553	-60.778446
21.533203	-58.218414
24.224854	-65.824142
26.916504	-52.357323
29.608154	-51.118862
32.299805	-52.201530
34.991455	-51.361160
37.683105	-50.231991
40.374756	-45.284981
43.066406	-45.930679
45.758057	-48.266479
48.449707	-45.689182
51.141357	-43.441135
53.833008	-55.718307
56.524658	-49.391884
59.216309	-50.983299
61.907959	-41.926849
64.599609	-45.121456
67.291260	-62.334023
69.982910	-49.617340
72.674561	-56.803448
75.366211	-59.406963
78.057861	-55.589664
80.749512	-49.590412
83.441162	-46.821472
86.132813	-41.034710
88.824463	-41.748970
91.516113	-37.432148
94.207764	-25.123121
96.899414	-25.658194
99.591064	-36.093658
102.282715	-42.764153
104.974365	-42.302753
107.666016	-38.759861
110.357666	-50.972733
113.049316	-33.523918
115.740967	-28.251644
118.432617	-32.056637
121.124268	-34.793846
123.815918	-29.953426
126.507568	-26.049047
129.199219	-27.801682
131.890869	-34.478027
134.582520	-35.017445
137.274170	-31.846472
139.965820	-35.468063
142.657471	-28.914700
145.349121	-46.277573
148.040771	-34.189224
150.732422	-46.216972
153.424072	-58.584232
156.115723	-36.630642
158.807373	-39.139618
161.499023	-47.248039
164.190674	-40.359013
166.882324	-38.441616
169.573975	-35.355953
172.265625	-32.539303
174.957275	-39.090572
177.648926	-39.417969
180.340576	-23.933620
183.032227	-24.117359
185.723877	-28.502901
188.415527	-26.400959
191.107178	-25.972210
193.798828	-27.581259
196.490479	-35.811672
199.182129	-27.211729
201.873779	-23.343040
204.565430	-21.555157
207.257080	-23.846821
209.948730	-23.161898
212.640381	-23.511261
215.332031	-23.684572
218.023682	-20.675703
220.715332	-26.666380
223.406982	-21.477053
226.098633	-22.739218
228.790283	-15.275675
231.481934	-15.592446
234.173584	-23.795429
236.865234	-22.546261
239.556885	-23.878868
242.248535	-38.133076
244.940186	-33.045498
247.631836	-37.724194
250.323486	-33.571556
253.015137	-40.175850
255.706787	-38.545345
258.398438	-35.152977
261.090088	-32.881123
263.781738	-33.184734
266.473389	-31.029943
269.165039	-30.080133
271.856689	-40.885807
274.548340	-34.996006
277.239990	-32.328743
279.931641	-54.242107
282.623291	-42.414276
285.314941	-37.403210
288.006592	-33.067768
290.698242	-39.090565
293.389893	-33.027412
296.081543	-31.594711
298.773193	-35.597374
301.464844	-38.716469
304.156494	-38.902706
306.848145	-33.328728
309.539795	-35.861771
312.231445	-42.145210
314.923096	-39.004787
317.614746	-36.978722
320.306396	-37.972912
322.998047	-33.066048
325.689697	-31.258749
328.381348	-41.297215
331.072998	-33.753998
333.764648	-31.688745
336.456299	-35.473160
339.147949	-38.819397
341.839600	-39.989479
344.531250	-37.050114
347.222900	-32.868629
349.914551	-32.294907
352.606201	-32.763649
355.297852	-34.959682
357.989502	-34.494190
360.681152	-36.432339
363.372803	-41.087051
366.064453	-44.493690
368.756104	-46.673744
371.447754	-53.042519
374.139404	-42.158958
376.831055	-37.864735
379.522705	-41.328304
382.214355	-43.704613
384.906006	-43.456276
387.597656	-43.429848
390.289307	-40.266273
392.980957	-39.887413
395.672607	-46.151550
398.364258	-41.174572
401.055908	-56.294273
403.747559	-41.147243
406.439209	-45.720051
409.130859	-48.150715
411.822510	-48.572105
414.514160	-52.816738
417.205811	-83.583038
419.897461	-43.569862
422.589111	-45.135971
425.280762	-46.039684
427.972412	-48.640640
430.664063	-46.413860
433.355713	-40.844395
436.047363	-38.477943
438.739014	-44.086098
441.430664	-44.172440
444.122314	-48.615482
446.813965	-38.943821
449.505615	-42.605988
452.197266	-40.012722
454.888916	-33.435139
457.580566	-25.082006
460.272217	-17.847010
462.963867	-24.364492
465.655518	-29.390060
468.347168	-47.273861
471.038818	-33.736454
473.730469	-47.705212
476.422119	-36.816444
479.113770	-33.140244
481.805420	-41.088650
484.497070	-39.641109
487.188721	-38.960453
489.880371	-43.450939
492.572021	-44.807774
495.263672	-41.054462
497.955322	-39.420132
500.646973	-46.166740
503.338623	-48.903835
506.030273	-48.470085
508.721924	-60.227596
511.413574	-45.984673
514.105225	-44.602482
516.796875	-42.620274
519.488525	-36.330963
522.180176	-35.991249
524.871826	-41.936104
527.563477	-52.436569
530.255127	-48.762794
532.946777	-47.756348
535.638428	-64.189278
538.330078	-51.420471
541.021729	-50.131092
543.713379	-44.308762
546.405029	-43.600285
549.096680	-48.411991
551.788330	-58.706173
554.479980	-51.625580
557.171631	-46.197475
559.863281	-46.040920
562.554932	-52.746037
565.246582	-48.817654
567.938232	-50.538631
570.629883	-49.628132
573.321533	-44.705711
576.013184	-41.377178
578.704834	-43.238083
581.396484	-52.867020
584.088135	-59.415371
586.779785	-49.891163
589.471436	-47.056313
592.163086	-48.775768
594.854736	-50.306194
597.546387	-56.424938
600.238037	-62.366608
602.929688	-61.101402
605.621338	-54.492374
608.312988	-52.736423
611.004639	-51.100887
613.696289	-52.448112
616.387939	-49.089569
619.079590	-52.335312
621.771240	-48.304321
624.462891	-46.102524
627.154541	-56.943386
629.846191	-52.552738
632.537842	-50.974506
635.229492	-48.913227
637.921143	-50.042622
640.612793	-50.713223
643.304443	-48.839260
645.996094	-50.867882
648.687744	-61.117142
651.379395	-53.566868
654.071045	-56.643208
656.762695	-56.550861
659.454346	-55.575375
662.145996	-63.946392
664.837646	-54.877254
667.529297	-46.175404
670.220947	-48.433941
672.912598	-49.375038
675.604248	-54.232563
678.295898	-53.310154
680.987549	-63.529839
683.679199	-58.189987
686.370850	-62.071430
689.062500	-45.855511
691.754150	-39.908638
694.445801	-42.261765
697.137451	-52.437321
699.829102	-48.425560
702.520752	-37.462803
705.212402	-40.483936
707.904053	-34.043194
710.595703	-43.649616
713.287354	-50.714191
715.979004	-51.434978
718.670654	-47.085667
721.362305	-49.420135
724.053955	-40.974415
726.745605	-42.374481
729.437256	-48.151535
732.128906	-54.450703
734.820557	-56.360893
737.512207	-55.044842
740.203857	-46.529453
742.895508	-43.204098
745.587158	-43.173443
748.278809	-60.359108
750.970459	-56.206676
753.662109	-48.910030
756.353760	-51.064053
759.045410	-52.518761
761.737061	-54.755138
764.428711	-48.817982
767.120361	-45.771034
769.812012	-50.510422
772.503662	-60.500168
775.195313	-57.546265
777.886963	-57.923500
780.578613	-55.975021
783.270264	-60.754696
785.961914	-58.148613
788.653564	-51.994217
791.345215	-54.830418
794.036865	-54.734936
796.728516	-58.192608
799.420166	-51.462193
802.111816	-55.575058
804.803467	-58.047585
807.495117	-52.396530
810.186768	-49.130379
812.878418	-64.341644
815.570068	-56.392147
818.261719	-54.674797
820.953369	-52.836445
823.645020	-50.320980
826.336670	-62.994678
829.028320	-52.481888
831.719971	-55.249588
834.411621	-50.655807
837.103271	-46.733414
839.794922	-54.868690
842.486572	-53.328121
845.178223	-56.914227
847.869873	-56.601322
850.561523	-60.566200
853.253174	-56.043320
855.944824	-59.453644
858.636475	-54.279091
861.328125	-52.691952
864.019775	-55.267769
866.711426	-54.973202
869.403076	-55.126564
872.094727	-56.389824
874.786377	-70.584045
877.478027	-60.879704
880.169678	-62.503494
882.861328	-68.772064
885.552979	-66.850189
888.244629	-68.285576
890.936279	-57.433205
893.627930	-57.892975
896.319580	-54.555691
899.011230	-63.104359
901.702881	-55.778580
904.394531	-53.649361
907.086182	-54.213100
909.777832	-50.318329
912.469482	-49.227825
915.161133	-48.963909
917.852783	-50.991585
920.544434	-39.881069
923.236084	-41.816216
925.927734	-47.116589
928.619385	-46.203472
931.311035	-42.705173
934.002686	-45.487968
936.694336	-54.153698
939.385986	-38.285263
942.077637	-36.994072
944.769287	-41.091438
947.460938	-50.077446
950.152588	-54.691097
952.844238	-59.856949
955.535889	-63.457523
958.227539	-57.786446
960.919189	-58.810394
963.610840	-64.088310
966.302490	-67.223450
968.994141	-74.012894
971.685791	-62.996109
974.377441	-55.000404
977.069092	-58.391293
979.760742	-57.401043
982.452393	-62.298965
985.144043	-67.428734
987.835693	-72.405525
990.527344	-67.443275
993.218994	-63.162045
995.910645	-62.142761
998.602295	-63.544167
1001.293945	-61.258900
1003.985596	-63.371315
1006.677246	-60.120506
1009.368896	-65.457458
1012.060547	-62.494530
1014.752197	-59.913261
1017.443848	-51.228073
1020.135498	-56.925461
1022.827148	-51.844162
1025.518799	-54.145615
1028.210449	-66.035980
1030.902100	-59.063068
1033.593750	-50.833057
1036.285400	-55.047352
1038.977051	-50.411987
1041.668701	-54.031540
1044.360352	-52.318962
1047.052002	-51.047131
1049.743652	-57.378326
1052.435303	-64.564316
1055.126953	-81.668182
1057.818604	-56.611919
1060.510254	-63.853237
1063.201904	-55.362118
1065.893555	-50.238628
1068.585205	-45.662518
1071.276855	-52.318142
1073.968506	-59.709064
1076.660156	-58.589996
1079.351807	-55.017231
1082.043457	-54.667343
1084.735107	-66.607834
1087.426758	-64.495293
1090.118408	-54.849865
1092.810059	-60.701698
1095.501709	-66.647331
1098.193359	-57.833420
1100.885010	-62.010899
1103.576660	-54.284130
1106.268311	-51.356152
1108.959961	-47.402061
1111.651611	-51.058159
1114.343262	-50.136135
1117.034912	-50.613281
1119.726563	-57.935055
1122.418213	-52.983974
1125.109863	-52.426113
1127.801514	-67.571907
1130.493164	-60.246006
1133.184814	-53.541523
1135.876465	-55.770939
1138.568115	-52.482235
1141.259766	-61.494366
1143.951416	-51.479015
1146.643066	-53.689640
1149.334717	-52.727367
1152.026367	-50.878216
1154.718018	-53.332085
1157.409668	-67.277115
1160.101318	-56.602562
1162.792969	-53.660637
1165.484619	-63.319237
1168.176270	-55.455997
1170.867920	-47.830978
1173.559570	-52.681877
1176.251221	-38.622463
1178.942871	-37.876732
1181.634521	-45.424091
1184.326172	-40.766495
1187.017822	-43.223824
1189.709473	-43.958992
1192.401123	-53.057678
1195.092773	-63.836117
1197.784424	-56.061813
1200.476074	-60.302834
1203.167725	-60.012608
1205.859375	-58.746075
1208.551025	-56.253696
1211.242676	-62.588730
1213.934326	-54.680492
1216.625977	-60.123226
1219.317627	-64.230667
1222.009277	-61.416874
1224.700928	-60.031410
1227.392578	-62.592270
1230.084229	-62.236031
1232.775879	-53.347645
1235.467529	-51.623299
1238.159180	-53.625946
1240.850830	-49.719299
1243.542480	-53.075626
1246.234131	-60.475201
1248.925781	-65.314568
1251.617432	-53.563007
1254.309082	-52.243973
1257.000732	-52.575821
1259.692383	-48.770168
1262.384033	-62.681095
1265.075684	-51.486572
1267.767334	-55.268902
1270.458984	-53.119698
1273.150635	-51.435551
1275.842285	-53.796932
1278.533936	-50.244411
1281.225586	-52.307529
1283.917236	-55.782085
1286.608887	-56.710564
1289.300537	-56.930229
1291.992188	-59.521763
1294.683838	-59.800037
1297.375488	-55.378883
1300.067139	-49.451126
1302.758789	-49.027252
1305.450439	-53.440136
1308.142090	-60.197910
1310.833740	-56.900661
1313.525391	-61.497078
1316.217041	-51.693195
1318.908691	-52.109390
1321.600342	-53.876713
1324.291992	-61.094467
1326.983643	-56.398003
1329.675293	-59.753418
1332.366943	-54.807575
1335.058594	-53.030621
1337.750244	-54.000523
1340.441895	-50.400276
1343.133545	-66.481339
1345.825195	-57.969444
1348.516846	-57.073788
1351.208496	-52.371975
1353.900146	-52.258381
1356.591797	-69.199883
1359.283447	-58.301731
1361.975098	-55.061081
1364.666748	-48.911415
1367.358398	-47.899956
1370.050049	-49.718323
1372.741699	-55.868362
1375.433350	-49.173168
1378.125000	-41.920094
1380.816650	-39.441029
1383.508301	-42.329159
1386.199951	-44.266670
1388.891602	-47.428062
1391.583252	-55.867241
1394.274902	-63.234863
1396.966553	-58.909309
1399.658203	-58.189579
1402.349854	-56.543552
1405.041504	-63.945709
1407.733154	-50.444931
1410.424805	-49.535774
1413.116455	-43.117764
1415.808105	-40.936977
1418.499756	-44.883446
1421.191406	-50.855999
1423.883057	-46.476807
1426.574707	-44.706459
1429.266357	-47.341396
1431.958008	-65.738106
1434.649658	-61.575302
1437.341309	-47.485706
1440.032959	-48.252789
1442.724609	-46.110729
1445.416260	-52.373066
1448.107910	-57.537807
1450.799561	-59.641811
1453.491211	-55.010151
1456.182861	-61.005661
1458.874512	-66.407562
1461.566162	-58.114368
1464.257813	-59.036037
1466.949463	-68.070099
1469.641113	-58.757526
1472.332764	-53.292362
1475.024414	-57.003254
1477.716064	-62.630253
1480.407715	-61.958096
1483.099365	-56.898113
1485.791016	-60.018993
1488.482666	-55.666290
1491.174316	-60.172821
1493.865967	-61.012482
1496.557617	-58.964394
1499.249268	-55.316170
1501.940918	-57.486324
1504.632568	-61.018078
1507.324219	-61.122768
1510.015869	-59.093819
1512.707520	-51.260353
1515.399170	-54.274635
1518.090820	-61.079655
1520.782471	-70.957703
1523.474121	-62.495716
1526.165771	-62.014465
1528.857422	-54.581985
1531.549072	-52.994091
1534.240723	-57.663727
1536.932373	-57.596363
1539.624023	-57.125320
1542.315674	-57.101624
1545.007324	-58.070576
1547.698975	-67.247177
1550.390625	-57.793015
1553.082275	-51.469830
1555.773926	-50.023331
1558.465576	-50.724140
1561.157227	-57.095856
1563.848877	-57.865990
1566.540527	-59.092560
1569.232178	-78.438103
1571.923828	-64.041740
1574.615479	-74.246696
1577.307129	-55.020550
1579.998779	-56.036942
1582.690430	-57.652596
1585.382080	-59.781437
1588.073730	-56.210255
1590.765381	-55.553791
1593.457031	-63.561398
1596.148682	-60.760025
1598.840332	-55.326366
1601.531982	-51.224258
1604.223633	-54.483894
1606.915283	-47.257420
1609.606934	-49.655407
1612.298584	-46.576946
1614.990234	-48.433132
1617.681885	-53.741276
1620.373535	-58.492085
1623.065186	-57.253807
1625.756836	-59.513699
1628.448486	-63.628181
1631.140137	-65.780182
1633.831787	-49.647064
1636.523438	-56.449459
1639.215088	-49.944206
1641.906738	-55.572197
1644.598389	-56.761314
1647.290039	-46.510883
1649.981689	-44.684231
1652.673340	-41.177120
1655.364990	-39.798813
1658.056641	-43.746975
1660.748291	-59.989887
1663.439941	-61.696278
1666.131592	-57.069229
1668.823242	-60.158604
1671.514893	-60.000553
1674.206543	-54.049034
1676.898193	-53.223827
1679.589844	-64.727989
1682.281494	-64.303673
1684.973145	-58.424145
1687.664795	-57.059147
1690.356445	-60.859283
1693.048096	-62.805882
1695.739746	-72.822807
1698.431396	-61.135227
1701.123047	-69.924263
1703.814697	-64.303337
1706.506348	-63.659840
1709.197998	-61.044598
1711.889648	-61.616020
1714.581299	-64.786026
1717.272949	-68.215347
1719.964600	-60.187195
1722.656250	-64.029228
1725.347900	-72.229156
1728.039551	-66.044670
1730.731201	-75.766487
1733.422852	-65.634491
1736.114502	-64.614677
1738.806152	-61.882488
1741.497803	-62.485756
1744.189453	-72.052788
1746.881104	-67.540314
1749.572754	-67.395851
1752.264404	-69.179100
1754.956055	-62.360355
1757.647705	-67.454247
1760.339355	-62.529030
1763.031006	-58.535538
1765.722656	-60.713097
1768.414307	-61.204128
1771.105957	-66.632301
1773.797607	-76.922142
1776.489258	-59.307140
1779.180908	-61.219055
1781.872559	-72.855484
1784.564209	-69.090034
1787.255859	-65.734398
1789.947510	-62.843552
1792.639160	-71.526054
1795.330811	-65.113556
1798.022461	-68.831551
1800.714111	-63.239285
1803.405762	-64.001198
1806.097412	-60.925186
1808.789063	-65.288086
1811.480713	-60.355507
1814.172363	-63.000404
1816.864014	-57.381718
1819.555664	-60.185966
1822.247314	-59.600605
1824.938965	-61.137714
1827.630615	-69.872932
1830.322266	-62.684723
1833.013916	-55.607208
1835.705566	-52.240398
1838.397217	-56.221500
1841.088867	-53.970577
1843.780518	-48.527744
1846.472168	-51.507469
1849.163818	-56.711807
1851.855469	-60.505344
1854.547119	-68.305962
1857.238770	-68.101418
1859.930420	-60.748924
1862.622070	-59.948593
1865.313721	-61.899921
1868.005371	-66.477959
1870.697021	-59.894081
1873.388672	-73.005615
1876.080322	-64.074715
1878.771973	-59.228287
1881.463623	-54.910297
1884.155273	-62.535297
1886.846924	-55.556393
1889.538574	-57.968826
1892.230225	-69.471565
1894.921875	-83.855461
1897.613525	-66.000504
1900.305176	-59.531567
1902.996826	-56.874432
1905.688477	-61.524555
1908.380127	-60.444439
1911.071777	-58.266689
1913.763428	-68.424751
1916.455078	-62.266754
1919.146729	-59.586765
1921.838379	-57.110943
1924.530029	-59.880802
1927.221680	-61.341454
1929.913330	-60.866043
