Frequency (Hz)	Level (dB)
2.691650	-63.921753
5.383301	-72.484909
8.074951	-64.587105
10.766602	-56.331760
13.458252	-53.962349
16.149902	-56.451096
18.841553	-60.053558
21.533203	-57.299824
24.224854	-53.476524
26.916504	-55.382671
29.608154	-57.164352
32.299805	-57.571693
34.991455	-50.763256
37.683105	-50.776043
40.374756	-47.909801
43.066406	-49.303135
45.758057	-54.605152
48.449707	-52.588882
51.141357	-49.468796
53.833008	-50.798439
56.524658	-54.017120
59.216309	-51.498360
61.907959	-43.386616
64.599609	-52.505703
67.291260	-59.269226
69.982910	-58.334980
72.674561	-53.877865
75.366211	-57.270081
78.057861	-65.803764
80.749512	-57.655201
83.441162	-70.264893
86.132813	-50.794968
88.824463	-52.080578
91.516113	-53.793503
94.207764	-56.615902
96.899414	-86.984489
99.591064	-53.857872
102.282715	-44.710560
104.974365	-41.110344
107.666016	-49.720829
110.357666	-60.397335
113.049316	-68.970558
115.740967	-52.579159
118.432617	-36.283463
121.124268	-41.401829
123.815918	-28.969692
126.507568	-31.763264
129.199219	-35.616421
131.890869	-44.508778
134.582520	-49.831139
137.274170	-39.077744
139.965820	-32.516754
142.657471	-28.175917
145.349121	-26.287363
148.040771	-35.694798
150.732422	-29.672977
153.424072	-18.473993
156.115723	-20.132544
158.807373	-31.069733
161.499023	-44.486877
164.190674	-36.245838
166.882324	-35.835251
169.573975	-44.675625
172.265625	-40.846737
174.957275	-36.319294
177.648926	-37.785557
180.340576	-41.454094
183.032227	-41.326405
185.723877	-30.845850
188.415527	-31.030420
191.107178	-37.055489
193.798828	-41.218346
196.490479	-51.082912
199.182129	-45.318027
201.873779	-48.950825
204.565430	-27.253666
207.257080	-24.412025
209.948730	-26.979076
212.640381	-29.000648
215.332031	-34.919781
218.023682	-40.926502
220.715332	-34.647915
223.406982	-34.849346
226.098633	-24.456490
228.790283	-23.285711
231.481934	-26.874821
234.173584	-33.097744
236.865234	-36.639278
239.556885	-33.850258
242.248535	-32.096272
244.940186	-35.833469
247.631836	-33.261467
250.323486	-34.801163
253.015137	-39.055832
255.706787	-44.215820
258.398438	-53.937004
261.090088	-43.260475
263.781738	-41.511700
266.473389	-53.864136
