Frequency (Hz)	Level (dB)
2.691650	-58.759972
5.383301	-72.086327
8.074951	-64.034889
10.766602	-54.051426
13.458252	-57.995689
16.149902	-63.698883
18.841553	-56.676441
21.533203	-55.659977
24.224854	-57.274414
26.916504	-54.667728
29.608154	-49.745449
32.299805	-57.065807
34.991455	-69.735138
37.683105	-78.276123
40.374756	-50.916054
43.066406	-58.665493
45.758057	-51.582581
48.449707	-56.205288
51.141357	-52.954899
53.833008	-63.158043
56.524658	-60.875702
59.216309	-54.563423
61.907959	-45.533142
64.599609	-50.997017
67.291260	-52.692013
69.982910	-54.004936
72.674561	-56.370842
75.366211	-53.660404
78.057861	-61.163715
80.749512	-57.966309
83.441162	-50.552231
86.132813	-51.983871
88.824463	-57.020138
91.516113	-62.058796
94.207764	-51.715137
96.899414	-52.113884
99.591064	-46.208447
102.282715	-41.130737
104.974365	-46.062237
107.666016	-51.212086
110.357666	-47.508881
113.049316	-42.737305
115.740967	-36.243790
118.432617	-33.200916
121.124268	-33.880798
123.815918	-28.868134
126.507568	-39.439320
129.199219	-31.952919
131.890869	-32.314842
134.582520	-33.836708
137.274170	-32.096333
139.965820	-29.130714
142.657471	-27.517403
145.349121	-27.246128
148.040771	-37.271214
150.732422	-40.432957
153.424072	-18.972120
156.115723	-16.577360
158.807373	-26.172256
161.499023	-36.320621
164.190674	-34.482189
166.882324	-34.963627
169.573975	-45.966896
172.265625	-43.623825
174.957275	-34.074398
177.648926	-33.290382
180.340576	-38.616184
183.032227	-42.016850
185.723877	-31.440348
188.415527	-40.603523
191.107178	-35.532932
193.798828	-39.214298
196.490479	-38.965969
199.182129	-34.396259
201.873779	-32.088921
204.565430	-31.367651
207.257080	-29.096256
209.948730	-34.451935
212.640381	-28.705444
215.332031	-39.518845
218.023682	-32.103916
220.715332	-28.193296
223.406982	-30.102863
226.098633	-28.615339
228.790283	-31.225601
231.481934	-31.425674
234.173584	-30.836014
236.865234	-32.289143
239.556885	-27.055151
242.248535	-26.670805
244.940186	-34.573139
247.631836	-34.266846
250.323486	-38.531807
253.015137	-37.198051
255.706787	-42.918724
258.398438	-61.802380
261.090088	-48.670937
263.781738	-55.738216
266.473389	-41.958755
269.165039	-41.662548
271.856689	-43.548325
274.548340	-44.368351
277.239990	-42.184437
279.931641	-39.815315
282.623291	-39.935001
285.314941	-44.647686
288.006592	-53.653008
290.698242	-51.663025
293.389893	-50.154140
296.081543	-47.848370
298.773193	-45.253975
301.464844	-42.067848
304.156494	-41.044949
306.848145	-30.315100
309.539795	-19.269876
312.231445	-22.231133
314.923096	-40.557301
317.614746	-59.724934
320.306396	-46.696190
322.998047	-52.446754
325.689697	-48.828091
328.381348	-50.553726
331.072998	-52.203987
333.764648	-48.030628
336.456299	-44.576000
339.147949	-46.179707
341.839600	-49.109081
344.531250	-42.080570
347.222900	-47.467350
349.914551	-57.984146
352.606201	-50.017128
355.297852	-58.770149
357.989502	-55.204586
360.681152	-48.893242
363.372803	-65.569939
366.064453	-62.021996
368.756104	-62.847347
371.447754	-54.055958
374.139404	-54.458698
376.831055	-49.993290
379.522705	-46.066792
382.214355	-47.023098
384.906006	-46.549393
387.597656	-40.546898
390.289307	-46.000656
392.980957	-49.917072
395.672607	-46.448296
398.364258	-49.990688
401.055908	-49.577473
403.747559	-53.955223
406.439209	-51.087307
409.130859	-57.041573
411.822510	-58.064255
414.514160	-50.000675
417.205811	-45.756603
419.897461	-46.485374
422.589111	-51.971378
425.280762	-58.435623
427.972412	-52.390167
430.664063	-61.409325
433.355713	-55.961521
436.047363	-53.076096
438.739014	-61.067627
441.430664	-55.054211
444.122314	-49.044258
446.813965	-48.421654
449.505615	-50.031689
452.197266	-55.889191
454.888916	-59.971794
457.580566	-51.294300
460.272217	-50.648346
462.963867	-46.913582
465.655518	-43.465019
468.347168	-42.830757
471.038818	-53.299313
473.730469	-57.150272
476.422119	-53.112682
479.113770	-59.606003
481.805420	-62.521809
484.497070	-61.847073
487.188721	-60.910160
489.880371	-59.667660
492.572021	-65.200821
495.263672	-64.816208
497.955322	-53.958450
500.646973	-50.007545
503.338623	-51.980492
506.030273	-58.141632
508.721924	-58.477871
511.413574	-62.497478
514.105225	-60.857174
516.796875	-57.680576
519.488525	-51.843430
522.180176	-48.135201
524.871826	-56.252327
527.563477	-67.209778
530.255127	-81.891624
532.946777	-68.405586
535.638428	-55.640697
538.330078	-62.784943
541.021729	-48.528851
543.713379	-51.060375
546.405029	-54.365822
549.096680	-52.662300
551.788330	-55.752663
554.479980	-70.715744
557.171631	-63.537308
559.863281	-56.529106
562.554932	-55.941326
565.246582	-57.212128
567.938232	-57.925240
570.629883	-57.489079
573.321533	-58.846142
576.013184	-62.518288
578.704834	-58.819710
581.396484	-58.302021
584.088135	-59.853092
586.779785	-59.738277
589.471436	-62.457142
592.163086	-63.401871
594.854736	-66.825424
597.546387	-58.734894
600.238037	-56.441319
602.929688	-53.734570
605.621338	-51.090179
608.312988	-55.186630
611.004639	-60.746555
613.696289	-57.030327
616.387939	-60.079094
619.079590	-66.311646
621.771240	-54.993401
624.462891	-64.366875
627.154541	-55.600407
629.846191	-60.380459
632.537842	-72.330429
635.229492	-74.517487
637.921143	-72.347061
640.612793	-65.672279
643.304443	-72.983582
645.996094	-57.415329
648.687744	-56.681396
651.379395	-64.763237
654.071045	-64.720055
656.762695	-62.102959
659.454346	-64.338516
662.145996	-72.818504
664.837646	-65.562881
667.529297	-56.144173
670.220947	-70.002838
672.912598	-55.270035
675.604248	-59.364170
678.295898	-54.783161
680.987549	-51.530762
683.679199	-63.354172
686.370850	-52.893341
689.062500	-58.201492
691.754150	-47.242970
694.445801	-52.231838
697.137451	-53.730724
699.829102	-49.065487
