Frequency (Hz)	Level (dB)
2.691650	-66.401688
5.383301	-74.447800
8.074951	-61.571938
10.766602	-61.534302
13.458252	-54.513653
16.149902	-51.669064
18.841553	-62.306915
21.533203	-52.802147
24.224854	-49.297874
26.916504	-55.230137
29.608154	-50.880741
32.299805	-57.751320
34.991455	-49.881947
37.683105	-55.038609
40.374756	-58.115189
43.066406	-66.453690
45.758057	-53.474979
48.449707	-52.821575
51.141357	-52.238792
53.833008	-56.662384
56.524658	-62.353432
59.216309	-56.981483
61.907959	-43.575779
64.599609	-49.732498
67.291260	-52.314053
69.982910	-58.680733
72.674561	-60.770733
75.366211	-61.642914
78.057861	-55.022175
80.749512	-50.734959
83.441162	-47.512516
86.132813	-59.279598
88.824463	-60.569649
91.516113	-62.727955
94.207764	-58.303406
96.899414	-57.030918
99.591064	-45.557114
102.282715	-46.197899
104.974365	-54.930187
107.666016	-48.836651
110.357666	-47.726273
113.049316	-52.177307
115.740967	-48.677509
118.432617	-46.092083
121.124268	-38.882481
123.815918	-26.976807
126.507568	-27.760038
129.199219	-38.872040
131.890869	-39.361313
134.582520	-42.497524
137.274170	-43.792412
139.965820	-46.059410
142.657471	-35.889572
145.349121	-25.221014
148.040771	-28.569473
150.732422	-44.250240
153.424072	-45.400757
156.115723	-49.420071
158.807373	-43.275631
161.499023	-43.992401
164.190674	-37.091057
166.882324	-33.855995
169.573975	-39.299290
172.265625	-34.206806
174.957275	-31.219357
177.648926	-23.403561
180.340576	-23.800261
183.032227	-27.123693
185.723877	-25.353384
188.415527	-18.933811
191.107178	-17.386896
193.798828	-20.762516
196.490479	-23.337267
199.182129	-28.961128
201.873779	-33.772602
204.565430	-34.557487
207.257080	-27.610569
209.948730	-24.944935
212.640381	-12.303818
215.332031	-17.645308
218.023682	-45.659790
220.715332	-35.472946
223.406982	-27.116642
226.098633	-24.733130
228.790283	-19.969877
231.481934	-24.406025
234.173584	-37.124424
236.865234	-39.839680
239.556885	-35.522251
242.248535	-37.933704
244.940186	-43.577053
247.631836	-32.455482
250.323486	-25.654074
253.015137	-32.422173
255.706787	-46.431732
258.398438	-51.056206
261.090088	-42.531361
263.781738	-46.350060
266.473389	-63.247272
269.165039	-42.233917
271.856689	-49.992939
274.548340	-47.743393
277.239990	-55.660946
279.931641	-72.439743
282.623291	-49.333553
285.314941	-46.696587
288.006592	-45.627056
290.698242	-46.341209
293.389893	-48.094696
296.081543	-68.687439
298.773193	-73.796600
301.464844	-43.202133
304.156494	-41.067142
306.848145	-54.889553
309.539795	-47.702091
312.231445	-49.348236
314.923096	-42.954659
317.614746	-33.072495
320.306396	-34.833031
322.998047	-46.377335
325.689697	-46.215153
328.381348	-44.805531
331.072998	-47.937084
333.764648	-56.562496
336.456299	-43.206089
339.147949	-43.350426
341.839600	-43.907330
344.531250	-39.629055
347.222900	-42.376690
349.914551	-43.905560
352.606201	-36.919857
355.297852	-35.302742
357.989502	-45.024681
360.681152	-42.163338
363.372803	-44.275162
366.064453	-41.758797
368.756104	-37.057503
371.447754	-42.669895
374.139404	-45.956852
376.831055	-44.098476
379.522705	-39.871582
382.214355	-34.524403
384.906006	-30.247187
387.597656	-31.059877
390.289307	-37.424763
392.980957	-46.352642
395.672607	-52.736874
398.364258	-52.504868
401.055908	-60.671391
403.747559	-48.591431
406.439209	-47.067120
409.130859	-39.601135
411.822510	-46.153210
414.514160	-40.456108
417.205811	-38.164017
419.897461	-67.486549
422.589111	-31.065453
425.280762	-21.626741
427.972412	-26.704042
430.664063	-36.055241
433.355713	-44.775082
436.047363	-44.496120
438.739014	-46.125935
441.430664	-46.097618
444.122314	-43.937023
446.813965	-51.287334
449.505615	-54.656059
452.197266	-55.721279
454.888916	-51.787407
457.580566	-39.775352
460.272217	-37.718967
462.963867	-46.409504
465.655518	-53.038834
468.347168	-53.847839
471.038818	-49.372566
473.730469	-53.685043
476.422119	-51.571239
479.113770	-60.221027
481.805420	-56.062809
484.497070	-62.453892
487.188721	-56.121117
489.880371	-51.112942
492.572021	-51.259937
495.263672	-54.896778
497.955322	-42.137600
500.646973	-38.864407
503.338623	-45.491898
506.030273	-54.487480
508.721924	-49.578278
511.413574	-55.641884
514.105225	-59.835209
516.796875	-53.515129
519.488525	-45.149525
522.180176	-46.151958
524.871826	-62.904827
527.563477	-43.223083
530.255127	-33.012348
532.946777	-34.565361
535.638428	-50.741879
538.330078	-41.175476
541.021729	-42.610867
543.713379	-45.480873
546.405029	-50.222519
549.096680	-51.936638
551.788330	-52.830860
554.479980	-57.192940
557.171631	-48.739262
559.863281	-67.194588
562.554932	-57.595428
565.246582	-57.199070
567.938232	-55.489902
570.629883	-50.533386
573.321533	-41.690582
576.013184	-37.356445
578.704834	-38.713181
581.396484	-44.655361
584.088135	-53.297077
586.779785	-47.866344
589.471436	-55.090561
592.163086	-51.201855
594.854736	-53.828335
597.546387	-57.667454
600.238037	-55.448978
602.929688	-58.397118
605.621338	-60.171326
608.312988	-58.559734
611.004639	-54.411350
613.696289	-49.707111
616.387939	-51.709747
619.079590	-56.026440
621.771240	-73.677017
624.462891	-69.599716
627.154541	-61.663616
629.846191	-72.254860
632.537842	-64.186485
635.229492	-49.516666
637.921143	-48.167358
640.612793	-53.770721
643.304443	-83.467560
645.996094	-62.801792
648.687744	-58.126583
651.379395	-56.357609
654.071045	-59.613480
656.762695	-62.599205
659.454346	-66.189262
662.145996	-63.077942
664.837646	-60.071590
667.529297	-60.513084
670.220947	-60.390087
672.912598	-60.422852
675.604248	-60.445194
